CCLE_ID,WGV
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-17.86308874
LS513_LARGE_INTESTINE,38.7029792
C2BBE1_LARGE_INTESTINE,35.94996625
253J_URINARY_TRACT,-30.30505042
ONCODG1_OVARY,42.59890329
HS294T_SKIN,-27.38302479
NCIH1581_LUNG,-17.33444008
SKBR3_BREAST,49.37943839
T24_URINARY_TRACT,-28.05973543
MCF7_BREAST,31.61971829
NCIH1693_LUNG,7.191119217
PATU8988S_PANCREAS,29.0297675
CH157MN_CENTRAL_NERVOUS_SYSTEM,-41.17370656
KPL1_BREAST,42.80168601
HCC827GR5_LUNG,68.71513722
PC14_LUNG,48.01033683
U343_CENTRAL_NERVOUS_SYSTEM,-36.55218955
S117_THYROID,-27.36345332
SKNMC_BONE,-15.45062842
U118MG_CENTRAL_NERVOUS_SYSTEM,-32.87730681
RDES_BONE,-7.344347849
PANC0203_PANCREAS,44.4069455
GCIY_STOMACH,21.00094957
TOV112D_OVARY,-23.45160411
A673_BONE,-16.81815097
HT1080_SOFT_TISSUE,-33.02160324
D283MED_CENTRAL_NERVOUS_SYSTEM,-20.52631862
PANC1005_PANCREAS,58.80955471
HS683_CENTRAL_NERVOUS_SYSTEM,-28.78548853
U87MG_CENTRAL_NERVOUS_SYSTEM,-33.18739856
MHHNB11_AUTONOMIC_GANGLIA,-30.50944586
G292CLONEA141B1_BONE,-45.43387344
T3M4_PANCREAS,61.64337599
ACCMESO1_PLEURA,-35.21077983
SKES1_BONE,-10.11851871
NCIH2452_PLEURA,-18.11813354
D341MED_CENTRAL_NERVOUS_SYSTEM,-33.31930465
G401_SOFT_TISSUE,-27.52204553
ZR751_BREAST,65.73465036
GAMG_CENTRAL_NERVOUS_SYSTEM,-24.41342799
SIMA_AUTONOMIC_GANGLIA,-27.11946701
KP3_PANCREAS,-13.74435541
SU8686_PANCREAS,52.83548558
VCAP_PROSTATE,20.15135106
OAW28_OVARY,59.46790584
HUPT3_PANCREAS,39.77593575
CHP212_AUTONOMIC_GANGLIA,-34.23729255
COV434_OVARY,-36.53096131
SLR20_KIDNEY,-28.97449113
LN319_CENTRAL_NERVOUS_SYSTEM,-20.23043638
JHOS2_OVARY,27.11580453
HS729_SOFT_TISSUE,-25.36460168
8MGBA_CENTRAL_NERVOUS_SYSTEM,-17.90067745
CFPAC1_PANCREAS,39.68088783
SNU308_BILIARY_TRACT,74.46847928
CAL29_URINARY_TRACT,54.58491981
HCC2429_LUNG,15.79149906
T47D_BREAST,64.12086367
HS578T_BREAST,-37.81069841
HCC2935_LUNG,79.27973256
M059K_CENTRAL_NERVOUS_SYSTEM,-36.1360622
NCIH2052_PLEURA,-17.01513693
OSRC2_KIDNEY,-27.53587915
BT12_SOFT_TISSUE,-33.24109073
SW579_THYROID,-37.62433056
PANC1_PANCREAS,-24.1624155
KE97_STOMACH,-32.17653679
RD_SOFT_TISSUE,-20.2774742
CAL62_THYROID,-20.29263519
HS766T_PANCREAS,-2.017198995
SNU869_BILIARY_TRACT,55.81890164
SCC25_UPPER_AERODIGESTIVE_TRACT,27.25105969
RCC10RGB_KIDNEY,-11.06184538
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-46.0390528
NMCG1_CENTRAL_NERVOUS_SYSTEM,-28.42553574
COLO320_LARGE_INTESTINE,-27.00272794
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-34.76982918
SNU1079_BILIARY_TRACT,-3.54548932
DAOY_CENTRAL_NERVOUS_SYSTEM,-28.79319489
CAL120_BREAST,-9.469261416
LN382_CENTRAL_NERVOUS_SYSTEM,-32.34285897
JHH6_LIVER,-35.24710186
A375_SKIN,-37.1056245
SNU398_LIVER,-33.3415944
ASPC1_PANCREAS,6.213160838
HCC1937_BREAST,62.59410341
KPNYN_AUTONOMIC_GANGLIA,-35.62558423
BICR31_UPPER_AERODIGESTIVE_TRACT,77.15076372
KALS1_CENTRAL_NERVOUS_SYSTEM,-23.12915773
U251MG_CENTRAL_NERVOUS_SYSTEM,-22.6924256
CAKI2_KIDNEY,-25.86366043
SCC4_UPPER_AERODIGESTIVE_TRACT,52.49756216
DANG_PANCREAS,53.68460901
DKMG_CENTRAL_NERVOUS_SYSTEM,-34.25239686
SLR23_KIDNEY,-31.34884597
OCUM1_STOMACH,33.51333564
AU565_BREAST,50.08354124
CL11_LARGE_INTESTINE,49.39757728
KMRC20_KIDNEY,-32.79291506
NCIH2887_LUNG,-31.64644123
COV318_OVARY,-22.64335926
CORL279_LUNG,16.38617243
KELLY_AUTONOMIC_GANGLIA,-26.79157133
SKNAS_AUTONOMIC_GANGLIA,-31.68882854
RERFLCAI_LUNG,-20.2982641
UOK101_KIDNEY,-31.45837834
CALU6_LUNG,-38.38010453
KP4_PANCREAS,-19.10795731
SNU213_PANCREAS,49.96771311
SLR24_KIDNEY,-37.93467829
SF539_CENTRAL_NERVOUS_SYSTEM,-34.17411244
HS852T_SKIN,-33.82232613
HCC38_BREAST,63.89790177
HCC1419_BREAST,42.9419205
COV362_OVARY,-8.599627748
EWS502_BONE,-16.38906531
SNU840_OVARY,48.85970168
KP2_PANCREAS,52.9633896
SNU1033_LARGE_INTESTINE,39.43228096
BT549_BREAST,-32.09445222
OV90_OVARY,-6.88185844
NCIH841_LUNG,-23.45977781
KLE_ENDOMETRIUM,2.791217894
