"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.86925,-2.24,0,1215,0.00839
"2",1,-0.75,-0.88268,-2.25,0,1249,0.00917
"3",1,-0.5,-0.73026,-1.84,0.00756,1165,0.291
"4",1,-0.25,-0.57609,-1.47,0.111,1266,1
"5",1,0,0.57891,1.47,0.104,82,1
"6",1,0.25,0.65133,1.71,0.0383,421,1
"7",1,0.5,0.78177,1.97,0.00387,237,0.166
"8",1,0.75,0.97583,2.5,0,8,0
"9",1,1,0.895,2.27,0,28,0.00507
"10",2,-1,-0.88741,-2.25,0,1334,0.00721
"11",2,-0.75,-0.71025,-1.79,0.0198,956,0.815
"12",2,-0.5,-0.78037,-2.04,0.00205,1265,0.0877
"13",2,-0.25,-0.54009,-1.36,0.165,1201,0.854
"14",2,0,0.66788,1.7,0.0307,394,0.447
"15",2,0.25,0.50608,1.26,0.234,382,0.805
"16",2,0.5,0.84923,2.14,0.00204,202,0.0162
"17",2,0.75,0.80991,2.11,0,91,0.0376
"18",2,1,0.82714,2.1,0.00207,161,0.0544
"19",3,-1,-0.82962,-2.08,0.00209,1206,0.0514
"20",3,-0.75,-0.8854,-2.26,0,1270,0.00296
"21",3,-0.5,-0.73223,-1.88,0.0099,1048,0.226
"22",3,-0.25,-0.83566,-2.09,0,1187,0.0476
"23",3,0,0.57077,1.51,0.0886,266,0.537
"24",3,0.25,-0.35721,-0.933,0.519,1296,0.726
"25",3,0.5,0.83297,2.2,0,186,0.0177
"26",3,0.75,0.92742,2.37,0,100,0.00106
"27",3,1,0.65232,1.68,0.0295,148,0.439
"28",4,-1,-0.85258,-2.16,0,1250,0.0195
"29",4,-0.75,-0.81686,-2.07,0.00384,1287,0.0709
"30",4,-0.5,-0.74722,-1.89,0.00189,1103,0.194
"31",4,-0.25,-0.43847,-1.12,0.33,1077,0.754
"32",4,0,0.3289,0.842,0.621,357,1
"33",4,0.25,0.67776,1.71,0.0333,1,1
"34",4,0.5,0.70495,1.77,0.0302,163,0.89
"35",4,0.75,0.66781,1.71,0.0294,110,1
"36",4,1,0.66372,1.67,0.0421,324,1
"37",5,-1,-0.87741,-2.15,0,1181,0.0149
"38",5,-0.75,-0.77235,-1.91,0.00368,1286,0.286
"39",5,-0.5,-0.82468,-2.09,0.00197,1162,0.0299
"40",5,-0.25,-0.52696,-1.31,0.176,1217,0.76
"41",5,0,0.42236,1.07,0.361,52,1
"42",5,0.25,0.78933,2,0,97,0.0864
"43",5,0.5,0.5807,1.49,0.0823,145,0.592
"44",5,0.75,0.83139,2.14,0,162,0.0333
"45",5,1,0.91654,2.29,0,16,0.00225
"46",6,-1,-0.97994,-2.51,0,1319,0
"47",6,-0.75,-0.88363,-2.24,0.00188,1292,0.0142
"48",6,-0.5,-0.79643,-1.98,0.00401,1072,0.169
"49",6,-0.25,0.50815,1.28,0.178,493,0.848
"50",6,0,0.61294,1.58,0.0558,249,0.922
"51",6,0.25,0.6796,1.77,0.0162,240,0.335
"52",6,0.5,0.43038,1.13,0.31,284,1
"53",6,0.75,0.88856,2.31,0,155,0.0031
"54",6,1,0.86391,2.21,0,137,0.00518
"55",7,-1,-0.8746,-2.19,0,1311,0.0106
"56",7,-0.75,-0.74051,-1.89,0.00192,1248,0.316
"57",7,-0.5,-0.80809,-2.05,0.00195,1228,0.069
"58",7,-0.25,-0.72687,-1.83,0.0134,1241,0.288
"59",7,0,0.33983,0.889,0.574,162,0.916
"60",7,0.25,0.53209,1.4,0.125,256,0.856
"61",7,0.5,0.69539,1.79,0.0182,415,0.293
"62",7,0.75,0.68628,1.74,0.0257,257,0.419
"63",7,1,0.95319,2.42,0,68,0.0011
"64",8,-1,-0.86813,-2.23,0,1274,0.00538
"65",8,-0.75,-0.79702,-2.06,0.00192,1148,0.0753
"66",8,-0.5,-0.83206,-2.09,0.00178,1237,0.0453
"67",8,-0.25,-0.6161,-1.59,0.0453,1087,0.956
"68",8,0,0.77851,2,0,77,0.167
"69",8,0.25,0.74405,1.96,0.00426,284,0.235
"70",8,0.5,0.79445,2.06,0,145,0.101
"71",8,0.75,0.7219,1.88,0.00805,14,0.449
"72",8,1,0.89376,2.33,0,148,0.00384
"73",9,-1,-0.92125,-2.29,0,1240,0
"74",9,-0.75,-0.63819,-1.67,0.0523,1314,0.433
"75",9,-0.5,-0.8529,-2.14,0,1148,0.013
