"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",0.33407,0.86,0.605,302,1
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",0.3333,0.846,0.624,271,0.996
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.49831,1.24,0.238,217,1
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.33178,-0.843,0.615,1290,0.848
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.37845,0.977,0.462,3,1
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.31268,0.782,0.71,341,0.985
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.44469,1.14,0.313,92,1
"8",1,"-1","Cell_No_1","AKT inhibitor",-0.40295,-1.03,0.408,988,1
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.34359,-0.872,0.59,1123,0.85
"10",1,"-1","Cell_No_1","androgen receptor antagonist",-0.58718,-1.48,0.0874,1293,1
"11",1,"-1","Cell_No_1","antioxidant",0.29689,0.741,0.758,33,0.937
"12",1,"-1","Cell_No_1","AP inhibitor",-0.60189,-1.57,0.0717,970,1
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.32282,-0.819,0.657,1278,0.837
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",0.45488,1.14,0.299,40,1
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.55327,-1.38,0.166,1163,1
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.43566,1.09,0.361,435,1
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.61967,-1.54,0.0752,1343,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",0.39693,1.01,0.446,271,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",-0.31227,-0.799,0.728,1350,0.845
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.40336,1.03,0.42,322,1
"21",1,"-1","Cell_No_1","calcium channel blocker",-0.46707,-1.19,0.224,905,0.863
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",-0.26168,-0.649,0.868,959,1
"23",1,"-1","Cell_No_1","CDK inhibitor",0.36808,0.936,0.507,15,0.957
"24",1,"-1","Cell_No_1","CHK inhibitor",-0.3365,-0.863,0.619,947,0.839
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",0.35671,0.908,0.528,195,0.978
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",-0.38261,-0.977,0.45,1154,0.905
"27",1,"-1","Cell_No_1","DNA alkylating agent",0.38844,0.955,0.495,55,1
"28",1,"-1","Cell_No_1","DNA inhibitor",0.21928,0.558,0.963,293,1
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",-0.51035,-1.27,0.202,1349,0.793
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",0.38829,0.961,0.492,42,1
