"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",0.28304,0.722,0.765,333,1
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.51672,-1.3,0.197,1082,0.612
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",-0.65834,-1.65,0.0566,1126,0.337
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.74939,-1.88,0.00571,1329,0.129
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",-0.36367,-0.918,0.542,1313,0.933
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",-0.42021,-1.05,0.405,1311,0.967
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.20915,0.544,0.954,307,1
"8",1,"-1","Cell_No_1","AKT inhibitor",0.50159,1.3,0.19,539,0.708
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",0.52259,1.36,0.144,202,0.693
"10",1,"-1","Cell_No_1","androgen receptor antagonist",-0.62127,-1.58,0.0716,1255,0.347
"11",1,"-1","Cell_No_1","antioxidant",0.35845,0.912,0.553,338,0.955
"12",1,"-1","Cell_No_1","AP inhibitor",0.56264,1.45,0.113,391,0.708
"13",1,"-1","Cell_No_1","ATPase inhibitor",0.2502,0.646,0.867,397,1
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.17617,-0.437,0.986,871,0.994
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",0.37239,0.937,0.499,193,0.936
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",-0.5971,-1.51,0.0857,1148,0.368
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.37932,-0.942,0.518,984,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.59406,-1.52,0.0608,1082,0.397
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",0.3984,1.01,0.417,91,0.852
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.65595,1.69,0.0343,362,0.528
"21",1,"-1","Cell_No_1","calcium channel blocker",0.3492,0.909,0.538,412,0.926
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",0.66939,1.69,0.0389,331,0.528
"23",1,"-1","Cell_No_1","CDK inhibitor",-0.2845,-0.711,0.788,1206,0.972
"24",1,"-1","Cell_No_1","CHK inhibitor",-0.34778,-0.892,0.589,979,0.95
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",0.36231,0.939,0.499,185,0.97
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",0.41315,1.05,0.382,151,0.803
"27",1,"-1","Cell_No_1","DNA alkylating agent",-0.4406,-1.13,0.308,1047,0.824
"28",1,"-1","Cell_No_1","DNA inhibitor",-0.28476,-0.713,0.793,1211,1
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",-0.26519,-0.664,0.862,1165,0.978
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",-0.27322,-0.683,0.841,1154,0.981
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",0.50579,1.27,0.227,63,0.72
