"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.86631,-2.18,0,1227,0.00873
"2",1,-0.75,-0.7881,-1.97,0.00398,1210,0.181
"3",1,-0.5,-0.61908,-1.55,0.0548,988,1
"4",1,-0.25,-0.50262,-1.26,0.204,978,1
"5",1,0,0.55144,1.42,0.107,199,0.655
"6",1,0.25,0.52405,1.36,0.13,371,0.64
"7",1,0.5,0.75895,1.9,0.0136,243,0.286
"8",1,0.75,0.78527,2,0.00562,204,0.0935
"9",1,1,0.84252,2.13,0,164,0.0182
"10",2,-1,-0.85717,-2.16,0,1245,0.0112
"11",2,-0.75,-0.7696,-2,0.0078,1217,0.131
"12",2,-0.5,-0.75417,-1.9,0.00383,1120,0.158
"13",2,-0.25,-0.42938,-1.09,0.364,859,0.906
"14",2,0,0.18998,0.48,0.978,326,0.984
"15",2,0.25,0.41929,1.08,0.379,323,0.917
"16",2,0.5,0.68012,1.7,0.0304,192,0.727
"17",2,0.75,0.82078,2.11,0,141,0.0361
"18",2,1,0.90494,2.33,0,112,0.001
"19",3,-1,-0.84394,-2.1,0.00388,1279,0.0182
"20",3,-0.75,-0.70738,-1.82,0.0211,1253,0.24
"21",3,-0.5,-0.7289,-1.88,0.00559,1052,0.22
"22",3,-0.25,-0.45918,-1.18,0.263,1082,0.889
"23",3,0,0.31261,0.814,0.668,273,1
"24",3,0.25,0.56965,1.46,0.102,307,0.621
"25",3,0.5,0.59842,1.49,0.105,244,0.661
"26",3,0.75,0.76441,1.94,0.00187,237,0.188
"27",3,1,0.87836,2.22,0,112,0.00512
"28",4,-1,-0.82568,-2.16,0.00199,1202,0.0182
"29",4,-0.75,-0.77991,-1.98,0.00198,1121,0.246
"30",4,-0.5,-0.7163,-1.76,0.016,1209,0.536
"31",4,-0.25,-0.67818,-1.73,0.0262,1086,0.653
"32",4,0,-0.30486,-0.766,0.722,1061,1
"33",4,0.25,0.58002,1.47,0.101,389,1
"34",4,0.5,0.73825,1.88,0.0112,221,0.191
"35",4,0.75,0.79183,1.98,0.00346,158,0.133
"36",4,1,0.88203,2.25,0,76,0.00277
"37",5,-1,-0.82355,-2.11,0,1183,0.0314
"38",5,-0.75,-0.76235,-1.92,0.00571,1135,0.133
"39",5,-0.5,-0.67742,-1.68,0.0396,1013,0.854
"40",5,-0.25,-0.44619,-1.12,0.32,955,1
"41",5,0,-0.47979,-1.22,0.232,912,1
"42",5,0.25,0.48323,1.21,0.235,412,0.901
"43",5,0.5,0.65634,1.69,0.0352,182,0.332
"44",5,0.75,0.77684,1.95,0.00184,223,0.176
"45",5,1,0.87111,2.22,0,176,0.00182
"46",6,-1,-0.81249,-2.09,0,1142,0.0502
"47",6,-0.75,-0.73281,-1.88,0.0147,1081,0.405
"48",6,-0.5,-0.58248,-1.45,0.102,854,0.806
"49",6,-0.25,-0.25677,-0.66,0.873,1015,0.943
"50",6,0,0.25799,0.665,0.843,78,0.918
"51",6,0.25,0.52119,1.35,0.164,58,0.942
"52",6,0.5,0.55378,1.42,0.117,274,0.857
"53",6,0.75,0.84778,2.15,0,130,0.0145
"54",6,1,0.83818,2.16,0,69,0.0104
"55",7,-1,-0.81391,-2.09,0.00371,1206,0.0404
"56",7,-0.75,-0.74005,-1.86,0.0171,1065,0.464
"57",7,-0.5,-0.70023,-1.75,0.0299,1071,0.976
"58",7,-0.25,-0.58188,-1.47,0.11,1056,1
"59",7,0,0.30514,0.801,0.7,329,1
"60",7,0.25,0.44264,1.11,0.342,473,0.701
"61",7,0.5,0.80669,2.09,0,178,0.043
"62",7,0.75,0.80289,2.02,0,126,0.108
"63",7,1,0.84271,2.17,0,198,0.015
"64",8,-1,-0.8608,-2.13,0.00179,1190,0.0135
"65",8,-0.75,-0.75526,-1.93,0.00187,1121,0.0721
"66",8,-0.5,-0.55144,-1.42,0.122,1077,0.642
"67",8,-0.25,-0.55401,-1.44,0.108,1128,0.675
"68",8,0,0.25829,0.656,0.874,135,0.981
"69",8,0.25,0.66555,1.71,0.0279,379,0.795
"70",8,0.5,0.65259,1.69,0.0281,344,0.604
"71",8,0.75,0.76683,1.92,0,274,0.345
"72",8,1,0.79858,2.04,0,204,0.108
"73",9,-1,-0.77236,-1.98,0.00188,1078,0.166
"74",9,-0.75,-0.76559,-1.95,0.00755,1019,0.233
"75",9,-0.5,-0.69067,-1.77,0.0233,1197,0.518
"76",9,-0.25,-0.37669,-0.985,0.453,1074,0.859
"77",9,0,0.25169,0.649,0.883,344,0.975
"78",9,0.25,0.52858,1.37,0.155,401,0.795
"79",9,0.5,0.75472,1.97,0.00191,294,0.154
"80",9,0.75,0.8482,2.21,0,159,0.00766
"81",9,1,0.89694,2.31,0,147,0.00172
"82",10,-1,-0.8789,-2.17,0,1201,0.0113
