"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.85976,-2.06,0,1186,0.0575
"2",1,-0.75,-0.73358,-1.81,0.00771,1223,0.767
"3",1,-0.5,-0.65321,-1.67,0.0432,1208,0.928
"4",1,-0.25,-0.48286,-1.22,0.226,1012,0.726
"5",1,0,-0.30101,-0.763,0.733,1216,1
"6",1,0.25,0.4788,1.23,0.205,275,0.591
"7",1,0.5,0.66995,1.72,0.0273,182,0.328
"8",1,0.75,0.73011,1.85,0.0112,285,0.431
"9",1,1,0.82888,2.07,0,157,0.037
"10",2,-1,-0.80425,-2.01,0.0018,1235,0.0942
"11",2,-0.75,-0.78978,-1.99,0.00362,1134,0.128
"12",2,-0.5,-0.63128,-1.6,0.0546,978,0.474
"13",2,-0.25,-0.52317,-1.3,0.184,1071,1
"14",2,0,0.27118,0.667,0.834,332,0.918
"15",2,0.25,0.35683,0.925,0.509,436,0.863
"16",2,0.5,0.69622,1.79,0.00406,306,0.39
"17",2,0.75,0.74503,1.85,0.0113,196,0.269
"18",2,1,0.83771,2.11,0,124,0.0297
"19",3,-1,-0.82714,-2.09,0.00187,1172,0.0345
"20",3,-0.75,-0.7753,-1.96,0.00775,1131,0.189
"21",3,-0.5,-0.68203,-1.76,0.0248,1043,0.315
"22",3,-0.25,-0.50992,-1.29,0.187,1184,0.843
"23",3,0,0.37164,0.925,0.518,133,1
"24",3,0.25,0.39876,1.01,0.441,269,1
"25",3,0.5,0.59416,1.51,0.0801,262,1
"26",3,0.75,0.76655,1.97,0.00183,146,0.161
"27",3,1,0.7883,1.94,0.0094,274,0.199
"28",4,-1,-0.89791,-2.24,0,1189,0.00667
"29",4,-0.75,-0.76183,-1.92,0.00719,1189,0.281
"30",4,-0.5,-0.65541,-1.66,0.0362,1020,1
"31",4,-0.25,-0.44099,-1.13,0.312,1128,1
"32",4,0,0.39904,1.02,0.408,261,0.99
"33",4,0.25,0.63339,1.63,0.0373,314,0.657
"34",4,0.5,0.69234,1.74,0.0222,140,1
"35",4,0.75,0.75077,1.93,0.00752,162,0.29
"36",4,1,0.84032,2.14,0,151,0.0304
"37",5,-1,-0.87208,-2.13,0,1225,0.0113
"38",5,-0.75,-0.77892,-1.94,0.00527,1090,0.0652
"39",5,-0.5,-0.52977,-1.33,0.153,1079,0.652
"40",5,-0.25,-0.42325,-1.07,0.38,939,0.795
"41",5,0,0.26634,0.694,0.824,192,1
"42",5,0.25,0.41526,1.09,0.346,195,0.951
"43",5,0.5,0.63534,1.63,0.0554,226,0.338
"44",5,0.75,0.79324,2.03,0.00189,199,0.115
"45",5,1,0.81994,2.11,0.00195,165,0.0525
"46",6,-1,-0.84977,-2.13,0.00189,1224,0.0355
"47",6,-0.75,-0.78664,-2.02,0.00766,1095,0.15
"48",6,-0.5,-0.68279,-1.74,0.0285,1180,1
"49",6,-0.25,-0.36882,-0.967,0.485,1111,1
"50",6,0,-0.28981,-0.749,0.729,1191,1
"51",6,0.25,0.35214,0.917,0.548,257,0.959
"52",6,0.5,0.54956,1.36,0.148,259,0.944
"53",6,0.75,0.73929,1.87,0.00355,210,0.192
"54",6,1,0.78581,1.98,0.00357,166,0.0738
"55",7,-1,-0.8862,-2.18,0,1233,0.00928
"56",7,-0.75,-0.68993,-1.74,0.0234,1195,1
"57",7,-0.5,-0.70872,-1.8,0.0247,1197,0.808
"58",7,-0.25,-0.47528,-1.22,0.234,1188,1
"59",7,0,0.1934,0.506,0.982,436,1
"60",7,0.25,0.511,1.31,0.168,393,1
"61",7,0.5,0.73142,1.84,0.00971,218,0.574
"62",7,0.75,0.78324,1.98,0,178,0.122
"63",7,1,0.82552,2.08,0.00345,106,0.039
"64",8,-1,-0.8506,-2.19,0,1198,0.0056
"65",8,-0.75,-0.71523,-1.83,0.0132,1096,0.543
"66",8,-0.5,-0.69646,-1.73,0.0338,1176,1
"67",8,-0.25,-0.4837,-1.25,0.211,958,1
"68",8,0,0.24113,0.608,0.898,105,1
"69",8,0.25,0.5569,1.39,0.123,361,0.689
"70",8,0.5,0.67637,1.71,0.0239,292,1
"71",8,0.75,0.77321,1.96,0.00186,276,0.191
"72",8,1,0.84699,2.14,0,202,0.0219
"73",9,-1,-0.85669,-2.16,0,1217,0.0183
"74",9,-0.75,-0.77196,-1.99,0.00197,1180,0.118
"75",9,-0.5,-0.6729,-1.74,0.026,1130,0.351
"76",9,-0.25,-0.46781,-1.18,0.284,1095,1
"77",9,0,-0.33849,-0.862,0.63,922,0.951
"78",9,0.25,0.444,1.13,0.304,476,1
"79",9,0.5,0.6948,1.76,0.0225,170,0.898
"80",9,0.75,0.7271,1.83,0.0208,299,0.562
"81",9,1,0.88414,2.22,0,149,0.00626
"82",10,-1,-0.87469,-2.15,0,1226,0.0156
"83",10,-0.75,-0.73628,-1.85,0.0155,1175,0.446
"84",10,-0.5,-0.68236,-1.73,0.0268,1027,1
"85",10,-0.25,-0.5736,-1.44,0.106,1093,1
"86",10,0,-0.22501,-0.569,0.945,1074,0.994
"87",10,0.25,0.2427,0.596,0.913,233,0.991
"88",10,0.5,0.62225,1.55,0.0763,400,0.617
"89",10,0.75,0.75572,1.82,0.0104,301,0.508
"90",10,1,0.86227,2.08,0,138,0.0208
"91",11,-1,-0.80882,-2.04,0.00175,1210,0.0698
"92",11,-0.75,-0.73838,-1.84,0.00684,1053,0.528
"93",11,-0.5,-0.61443,-1.57,0.0584,1114,0.548
"94",11,-0.25,-0.50924,-1.3,0.183,1233,0.798
"95",11,0,0.25059,0.658,0.857,183,0.987
"96",11,0.25,0.38752,1.01,0.419,248,0.986
"97",11,0.5,0.65987,1.67,0.0371,241,0.431
"98",11,0.75,0.6935,1.79,0.023,269,0.93
"99",11,1,0.86646,2.18,0.00197,182,0.0147
"100",12,-1,-0.85937,-2.16,0,1248,0.0143
"101",12,-0.75,-0.72707,-1.85,0.0158,1254,0.488
"102",12,-0.5,-0.6595,-1.68,0.0495,1007,1
"103",12,-0.25,-0.51192,-1.33,0.177,1081,0.656
"104",12,0,-0.21304,-0.548,0.95,1133,1
"105",12,0.25,0.38147,0.974,0.464,318,0.754
"106",12,0.5,0.72781,1.87,0.00548,177,0.485
"107",12,0.75,0.77832,1.96,0.00363,196,0.194
"108",12,1,0.84018,2.11,0,148,0.0318
"109",13,-1,-0.85525,-2.16,0,1156,0.0225
"110",13,-0.75,-0.76778,-1.96,0.00173,1135,0.0655
"111",13,-0.5,-0.66103,-1.68,0.0369,1145,0.323
"112",13,-0.25,-0.48676,-1.24,0.229,1151,0.756
"113",13,0,0.22075,0.579,0.942,317,1
"114",13,0.25,0.48135,1.25,0.225,333,0.987
"115",13,0.5,0.59646,1.54,0.0709,442,0.789
"116",13,0.75,0.70812,1.78,0.0237,312,0.408
"117",13,1,0.87936,2.23,0,146,0.00179
"118",14,-1,-0.81115,-2.05,0,1160,0.0359
"119",14,-0.75,-0.79629,-2.03,0.00191,1199,0.109
"120",14,-0.5,-0.5523,-1.39,0.137,1029,0.823
"121",14,-0.25,-0.43571,-1.12,0.34,1040,0.912
"122",14,0,-0.2416,-0.625,0.904,1150,0.978
"123",14,0.25,0.43031,1.1,0.345,214,0.934
"124",14,0.5,0.63736,1.64,0.0413,426,0.886
"125",14,0.75,0.68641,1.73,0.0261,262,0.48
"126",14,1,0.87592,2.17,0,153,0.00684
"127",15,-1,-0.84591,-2.17,0.00189,1194,0.0128
"128",15,-0.75,-0.78916,-2.02,0.00193,1143,0.132
"129",15,-0.5,-0.67421,-1.76,0.0299,1135,0.389
"130",15,-0.25,-0.57146,-1.48,0.0885,1094,0.452
"131",15,0,-0.21099,-0.548,0.946,1165,1
"132",15,0.25,0.38302,1.01,0.424,269,0.969
"133",15,0.5,0.71501,1.84,0.00967,254,0.258
"134",15,0.75,0.74342,1.89,0.00771,314,0.177
"135",15,1,0.8357,2.14,0,131,0.0261
"136",16,-1,-0.83874,-2.08,0,1206,0.0349
"137",16,-0.75,-0.80552,-1.99,0.0035,1210,0.134
"138",16,-0.5,-0.62653,-1.6,0.0412,1022,0.56
"139",16,-0.25,-0.4764,-1.2,0.253,1290,0.929
"140",16,0,-0.33075,-0.834,0.636,1190,0.988
"141",16,0.25,0.48774,1.22,0.245,286,1
"142",16,0.5,0.62928,1.62,0.0459,184,0.742
"143",16,0.75,0.78801,1.97,0,249,0.15
"144",16,1,0.84855,2.08,0,199,0.0399
"145",17,-1,-0.80503,-2.03,0.00361,1116,0.0955
"146",17,-0.75,-0.73601,-1.84,0.0169,1136,0.169
"147",17,-0.5,-0.72635,-1.86,0.00575,1146,0.239
"148",17,-0.25,-0.48683,-1.26,0.19,977,0.878
"149",17,0,0.28301,0.731,0.796,49,0.962
"150",17,0.25,0.60252,1.54,0.0699,237,1
"151",17,0.5,0.64639,1.65,0.0454,292,1
"152",17,0.75,0.7262,1.83,0.0109,293,0.598
"153",17,1,0.76472,1.92,0.0129,172,0.269
"154",18,-1,-0.82311,-2.13,0.00194,1168,0.0287
"155",18,-0.75,-0.79438,-2.05,0.00214,1135,0.0813
"156",18,-0.5,-0.66009,-1.7,0.0353,1063,0.639
"157",18,-0.25,-0.63906,-1.67,0.0374,1067,0.714
"158",18,0,0.33038,0.847,0.605,430,1
"159",18,0.25,0.48407,1.26,0.213,93,0.89
"160",18,0.5,0.63661,1.65,0.0387,363,0.565
"161",18,0.75,0.63689,1.62,0.0455,366,0.515
"162",18,1,0.81566,2.07,0,103,0.0298
"163",19,-1,-0.81758,-2.07,0.0034,1205,0.0475
"164",19,-0.75,-0.7379,-1.86,0.00558,1090,0.531
"165",19,-0.5,-0.64295,-1.65,0.0378,1083,1
"166",19,-0.25,-0.34415,-0.905,0.544,1253,1
"167",19,0,0.16404,0.437,0.996,70,0.994
"168",19,0.25,0.38422,0.998,0.425,282,0.829
"169",19,0.5,0.71258,1.9,0.0119,204,0.0909
"170",19,0.75,0.7157,1.86,0.0154,334,0.0922
"171",19,1,0.84209,2.16,0,212,0.0083
"172",20,-1,-0.81441,-2.03,0.00376,1195,0.0706
"173",20,-0.75,-0.66933,-1.69,0.0307,981,0.657
"174",20,-0.5,-0.64035,-1.62,0.0429,1030,0.971
"175",20,-0.25,-0.48052,-1.23,0.222,952,1
"176",20,0,-0.21079,-0.532,0.948,995,1
"177",20,0.25,0.38315,0.985,0.464,338,0.97
"178",20,0.5,0.74999,1.89,0.00392,174,0.207
"179",20,0.75,0.71298,1.83,0.00794,188,0.322
"180",20,1,0.83955,2.12,0,204,0.0331
"181",21,-1,-0.84342,-2.1,0,1188,0.037
"182",21,-0.75,-0.78631,-1.96,0.00179,1159,0.229
"183",21,-0.5,-0.56318,-1.47,0.0907,1165,0.589
"184",21,-0.25,-0.50639,-1.28,0.182,1203,0.696
"185",21,0,-0.25403,-0.647,0.889,1154,0.976
"186",21,0.25,0.51723,1.35,0.16,275,1
"187",21,0.5,0.54704,1.41,0.116,409,1
"188",21,0.75,0.73342,1.9,0.0101,207,0.348
"189",21,1,0.78647,2,0.0078,152,0.176
"190",22,-1,-0.78898,-2.01,0.00185,1123,0.0529
"191",22,-0.75,-0.72874,-1.87,0.0115,1077,0.209
"192",22,-0.5,-0.58525,-1.49,0.0797,1033,0.565
"193",22,-0.25,-0.54478,-1.38,0.133,1200,0.664
"194",22,0,0.38185,0.979,0.446,399,0.821
"195",22,0.25,0.46113,1.18,0.278,297,1
"196",22,0.5,0.63069,1.58,0.0479,333,1
"197",22,0.75,0.79819,1.97,0,242,0.151
"198",22,1,0.87111,2.23,0,141,0.00815
"199",23,-1,-0.81221,-2.05,0,1138,0.0423
"200",23,-0.75,-0.70945,-1.77,0.00883,1078,0.678
"201",23,-0.5,-0.59869,-1.54,0.0725,1201,0.807
"202",23,-0.25,-0.53879,-1.41,0.122,1076,0.53
"203",23,0,-0.23115,-0.596,0.911,1183,0.981
"204",23,0.25,0.50208,1.32,0.163,433,1
"205",23,0.5,0.70192,1.74,0.0202,264,0.477
"206",23,0.75,0.73247,1.85,0.00994,257,0.313
"207",23,1,0.79613,2.03,0.00373,227,0.147
"208",24,-1,-0.79035,-2.01,0.00403,1181,0.0991
"209",24,-0.75,-0.7925,-2.01,0.00176,1122,0.11
"210",24,-0.5,-0.63411,-1.63,0.0503,1101,0.714
"211",24,-0.25,-0.41931,-1.11,0.326,1143,0.986
"212",24,0,0.32102,0.832,0.63,288,0.996
"213",24,0.25,0.46845,1.19,0.236,295,0.764
"214",24,0.5,0.61326,1.54,0.069,433,0.659
"215",24,0.75,0.74061,1.87,0.00929,372,0.231
"216",24,1,0.82902,2.1,0,197,0.0461
"217",25,-1,-0.86905,-2.2,0,1224,0.00973
"218",25,-0.75,-0.75408,-1.92,0.00971,1115,0.353
"219",25,-0.5,-0.66781,-1.71,0.0329,987,0.799
"220",25,-0.25,-0.49032,-1.28,0.181,1057,0.908
"221",25,0,-0.25529,-0.662,0.866,1240,0.986
"222",25,0.25,0.60075,1.53,0.0777,376,1
"223",25,0.5,0.66059,1.72,0.0322,228,0.602
"224",25,0.75,0.75716,1.91,0.002,185,0.293
"225",25,1,0.77896,1.99,0,252,0.114
"226",26,-1,-0.81517,-2.01,0.0036,1158,0.0487
"227",26,-0.75,-0.72959,-1.85,0.0103,1040,0.164
"228",26,-0.5,-0.57559,-1.48,0.0845,1060,0.847
"229",26,-0.25,-0.40434,-1,0.455,887,1
"230",26,0,-0.25162,-0.643,0.881,1022,0.99
"231",26,0.25,0.56486,1.46,0.106,421,0.483
"232",26,0.5,0.68024,1.75,0.0399,169,0.585
"233",26,0.75,0.72279,1.86,0.00585,192,0.261
"234",26,1,0.85748,2.19,0,128,0.00652
"235",27,-1,-0.85704,-2.21,0,1212,0.00522
"236",27,-0.75,-0.81963,-2.08,0.00192,1201,0.0491
"237",27,-0.5,-0.58146,-1.48,0.0853,1039,0.878
"238",27,-0.25,-0.59263,-1.55,0.0649,1074,0.825
"239",27,0,-0.17705,-0.462,0.992,1111,0.989
"240",27,0.25,0.66126,1.69,0.0351,205,0.492
"241",27,0.5,0.64158,1.58,0.0625,197,0.892
"242",27,0.75,0.67193,1.69,0.0188,141,0.488
"243",27,1,0.84582,2.1,0,114,0.032
"244",28,-1,-0.87459,-2.19,0,1193,0.00885
"245",28,-0.75,-0.79409,-1.99,0.00362,1211,0.119
"246",28,-0.5,-0.71587,-1.85,0.0114,1082,0.413
"247",28,-0.25,-0.42168,-1.09,0.351,1065,1
"248",28,0,0.3116,0.79,0.72,253,0.99
"249",28,0.25,0.33981,0.881,0.583,419,0.932
"250",28,0.5,0.66889,1.68,0.0333,259,0.494
"251",28,0.75,0.76329,1.94,0.0019,264,0.304
"252",28,1,0.84278,2.15,0.00189,137,0.0192
"253",29,-1,-0.8159,-2.04,0.00379,1233,0.0721
"254",29,-0.75,-0.75314,-1.91,0.0129,1110,0.241
"255",29,-0.5,-0.68034,-1.76,0.031,1146,0.454
"256",29,-0.25,-0.55697,-1.44,0.115,1137,0.853
"257",29,0,-0.27322,-0.717,0.819,1115,0.907
"258",29,0.25,0.41695,1.1,0.325,385,0.882
"259",29,0.5,0.71321,1.8,0.0142,177,0.859
"260",29,0.75,0.68419,1.73,0.0328,344,1
"261",29,1,0.90166,2.29,0,156,0.00345
"262",30,-1,-0.80031,-2,0,1244,0.114
"263",30,-0.75,-0.75742,-1.89,0.00596,1240,0.339
"264",30,-0.5,-0.70049,-1.75,0.0212,1079,1
"265",30,-0.25,-0.44168,-1.17,0.271,1099,1
"266",30,0,-0.22433,-0.572,0.939,1207,0.967
"267",30,0.25,0.32546,0.821,0.651,412,0.957
"268",30,0.5,0.57145,1.44,0.123,232,0.78
"269",30,0.75,0.79564,2.01,0.00362,178,0.117
"270",30,1,0.85851,2.15,0,112,0.0165
"271",31,-1,-0.85489,-2.18,0,1233,0.0139
"272",31,-0.75,-0.72703,-1.88,0.00537,1152,0.214
"273",31,-0.5,-0.53774,-1.38,0.131,1004,0.607
"274",31,-0.25,-0.45237,-1.17,0.298,1230,0.911
"275",31,0,-0.23522,-0.625,0.893,978,1
"276",31,0.25,0.35422,0.929,0.501,203,0.846
"277",31,0.5,0.68339,1.75,0.0304,275,0.35
"278",31,0.75,0.76546,2.01,0.00574,249,0.0905
"279",31,1,0.84614,2.2,0,149,0.00678
"280",32,-1,-0.83674,-2.07,0,1168,0.0496
"281",32,-0.75,-0.81103,-2.05,0.00186,1207,0.068
