"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.78228,-1.89,0.00493,1115,0.303
"2",1,-0.75,-0.77735,-1.97,0.00347,1113,0.133
"3",1,-0.5,-0.66188,-1.73,0.0231,1091,0.337
"4",1,-0.25,-0.50513,-1.27,0.211,1167,0.776
"5",1,0,0.24265,0.636,0.884,99,1
"6",1,0.25,0.4483,1.17,0.264,218,0.839
"7",1,0.5,0.64828,1.68,0.0334,326,0.485
"8",1,0.75,0.75833,1.9,0,277,0.394
"9",1,1,0.8251,2.01,0,140,0.129
"10",2,-1,-0.85197,-2.12,0,1197,0.0397
"11",2,-0.75,-0.81677,-2.05,0.00173,1164,0.0757
"12",2,-0.5,-0.69498,-1.79,0.02,1131,0.945
"13",2,-0.25,-0.48121,-1.24,0.211,961,1
"14",2,0,-0.25032,-0.63,0.875,1171,0.976
"15",2,0.25,0.46347,1.22,0.223,336,0.838
"16",2,0.5,0.69913,1.78,0.0242,313,0.376
"17",2,0.75,0.76676,1.94,0.00198,107,0.208
"18",2,1,0.7979,2.03,0,155,0.0786
"19",3,-1,-0.83105,-2.03,0.00165,1153,0.027
"20",3,-0.75,-0.8084,-1.99,0.00341,1161,0.0998
"21",3,-0.5,-0.66929,-1.66,0.0328,1068,0.342
"22",3,-0.25,-0.44922,-1.13,0.322,1047,0.916
"23",3,0,0.24217,0.643,0.889,155,1
"24",3,0.25,0.26242,0.684,0.823,352,0.982
"25",3,0.5,0.63912,1.65,0.0437,273,0.427
"26",3,0.75,0.75808,1.93,0.01,269,0.294
"27",3,1,0.84364,2.11,0,124,0.0383
"28",4,-1,-0.84313,-2.09,0,1190,0.0326
"29",4,-0.75,-0.78467,-1.96,0.00192,1206,0.188
"30",4,-0.5,-0.64389,-1.65,0.0432,1163,0.45
"31",4,-0.25,-0.48283,-1.25,0.214,1248,0.735
"32",4,0,-0.32501,-0.827,0.673,1218,1
"33",4,0.25,0.5162,1.3,0.19,260,0.818
"34",4,0.5,0.59077,1.51,0.0858,306,0.722
"35",4,0.75,0.75615,1.87,0.00718,284,0.214
"36",4,1,0.83473,2.06,0,156,0.0433
"37",5,-1,-0.84363,-2.14,0.00179,1250,0.0159
"38",5,-0.75,-0.76162,-1.89,0.00729,1099,0.163
"39",5,-0.5,-0.59976,-1.52,0.0784,1093,0.983
"40",5,-0.25,-0.36155,-0.907,0.563,974,0.939
"41",5,0,-0.16388,-0.409,0.998,1122,0.997
"42",5,0.25,0.27655,0.712,0.813,355,1
"43",5,0.5,0.59067,1.48,0.0819,308,0.863
"44",5,0.75,0.7177,1.76,0.0248,365,0.359
"45",5,1,0.82145,2.09,0.00183,131,0.0278
"46",6,-1,-0.79417,-1.95,0.00175,1103,0.151
"47",6,-0.75,-0.76942,-1.95,0.00367,1191,0.138
"48",6,-0.5,-0.65267,-1.65,0.0414,1040,0.84
"49",6,-0.25,-0.38303,-0.949,0.493,1014,0.95
"50",6,0,0.29383,0.739,0.764,408,0.941
"51",6,0.25,0.60688,1.58,0.0641,249,0.518
"52",6,0.5,0.5252,1.36,0.134,236,0.706
"53",6,0.75,0.72036,1.84,0.012,211,0.207
"54",6,1,0.83964,2.11,0,127,0.0394
"55",7,-1,-0.83635,-2.12,0.00192,1232,0.022
"56",7,-0.75,-0.75361,-1.91,0.00411,1187,0.145
"57",7,-0.5,-0.75196,-1.93,0.0114,1203,0.0673
"58",7,-0.25,-0.40382,-1.06,0.381,1158,0.928
"59",7,0,0.21497,0.537,0.971,226,1
"60",7,0.25,0.47541,1.22,0.25,279,0.673
"61",7,0.5,0.62543,1.6,0.0451,240,0.443
"62",7,0.75,0.71956,1.8,0.0233,245,0.142
"63",7,1,0.86778,2.11,0,153,0.0117
"64",8,-1,-0.83945,-2.1,0,1197,0.0138
"65",8,-0.75,-0.78592,-1.98,0,1153,0.0651
"66",8,-0.5,-0.61732,-1.53,0.0913,1097,0.742
"67",8,-0.25,-0.30193,-0.767,0.73,982,0.93
"68",8,0,-0.26741,-0.688,0.826,990,0.95
"69",8,0.25,0.46358,1.17,0.31,308,1
"70",8,0.5,0.65671,1.73,0.0256,203,0.265
"71",8,0.75,0.77197,1.94,0.00733,282,0.212
"72",8,1,0.87106,2.15,0,175,0.0117
"73",9,-1,-0.85118,-2.18,0,1187,0.0195
"74",9,-0.75,-0.81099,-2.09,0,1142,0.0533
"75",9,-0.5,-0.63411,-1.65,0.0333,1003,0.961
