"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.79236,-2,0.00178,1100,0.0684
"2",1,-0.75,-0.7789,-1.99,0.00179,1175,0.143
"3",1,-0.5,-0.64915,-1.66,0.0333,1067,0.347
"4",1,-0.25,-0.51941,-1.3,0.186,1027,0.964
"5",1,0,0.27196,0.699,0.822,197,1
"6",1,0.25,0.40836,1.08,0.332,195,1
"7",1,0.5,0.64398,1.64,0.0495,147,0.539
"8",1,0.75,0.76864,1.95,0.00391,235,0.127
"9",1,1,0.78628,1.96,0.00768,187,0.104
"10",2,-1,-0.85679,-2.14,0.00173,1217,0.0188
"11",2,-0.75,-0.74191,-1.89,0.0152,1174,0.388
"12",2,-0.5,-0.64784,-1.66,0.0338,1174,1
"13",2,-0.25,-0.50415,-1.29,0.183,1229,0.747
"14",2,0,0.1984,0.523,0.976,309,1
"15",2,0.25,0.57798,1.47,0.0866,337,0.778
"16",2,0.5,0.72675,1.84,0.0111,235,0.275
"17",2,0.75,0.68809,1.76,0.0204,339,0.495
"18",2,1,0.80947,2.07,0,243,0.0527
"19",3,-1,-0.88345,-2.21,0.00187,1197,0.00955
"20",3,-0.75,-0.78898,-1.97,0.00364,1112,0.17
"21",3,-0.5,-0.65965,-1.67,0.0331,1042,1
"22",3,-0.25,-0.44408,-1.14,0.292,1211,0.908
"23",3,0,-0.28975,-0.747,0.765,1076,1
"24",3,0.25,0.50583,1.25,0.202,255,0.603
"25",3,0.5,0.67983,1.71,0.016,324,0.476
"26",3,0.75,0.7806,1.94,0.00172,180,0.228
"27",3,1,0.82166,2.07,0,230,0.0428
"28",4,-1,-0.79233,-1.93,0.00568,1086,0.307
"29",4,-0.75,-0.80299,-1.99,0.00182,1140,0.156
"30",4,-0.5,-0.59337,-1.49,0.109,982,1
"31",4,-0.25,-0.47054,-1.19,0.245,1007,0.984
"32",4,0,0.1826,0.463,0.99,491,0.988
"33",4,0.25,0.51712,1.31,0.162,392,0.833
"34",4,0.5,0.70431,1.75,0.0144,143,0.252
"35",4,0.75,0.79647,1.98,0.00174,208,0.0998
"36",4,1,0.80938,1.97,0,224,0.114
"37",5,-1,-0.83631,-2.07,0,1245,0.0479
"38",5,-0.75,-0.76476,-1.93,0.00554,1158,0.29
"39",5,-0.5,-0.62603,-1.61,0.0573,1121,1
"40",5,-0.25,-0.53063,-1.39,0.137,1062,0.853
"41",5,0,0.23864,0.604,0.91,193,0.962
"42",5,0.25,0.45606,1.15,0.291,361,0.954
"43",5,0.5,0.61537,1.58,0.0571,277,0.81
"44",5,0.75,0.74568,1.91,0.00924,185,0.271
"45",5,1,0.81533,2.07,0,236,0.0405
"46",6,-1,-0.83172,-2.04,0.00169,1164,0.0805
"47",6,-0.75,-0.71498,-1.8,0.0134,1049,0.801
"48",6,-0.5,-0.66217,-1.68,0.0391,1128,0.935
"49",6,-0.25,-0.47119,-1.18,0.271,1097,1
"50",6,0,0.22277,0.573,0.96,107,1
"51",6,0.25,0.54484,1.37,0.166,344,1
"52",6,0.5,0.61393,1.59,0.0634,168,1
"53",6,0.75,0.78351,2,0.00382,207,0.109
"54",6,1,0.87052,2.19,0,159,0.00985
"55",7,-1,-0.80633,-2,0,1100,0.0773
"56",7,-0.75,-0.72039,-1.78,0.0153,1050,0.701
"57",7,-0.5,-0.67401,-1.65,0.0394,994,0.581
"58",7,-0.25,-0.32819,-0.807,0.685,1051,0.939
"59",7,0,0.23639,0.608,0.917,244,1
"60",7,0.25,0.51438,1.3,0.178,265,0.733
"61",7,0.5,0.72399,1.82,0.00816,274,0.7
"62",7,0.75,0.74609,1.88,0.00821,318,0.232
"63",7,1,0.83995,2.06,0.00402,221,0.067
"64",8,-1,-0.84103,-2.11,0,1166,0.0294
"65",8,-0.75,-0.75568,-1.98,0.00554,1062,0.178
"66",8,-0.5,-0.70924,-1.79,0.0167,1119,0.281
"67",8,-0.25,-0.49004,-1.26,0.207,1029,1
"68",8,0,0.29833,0.765,0.737,120,0.957
"69",8,0.25,0.51009,1.32,0.19,291,0.728
"70",8,0.5,0.56364,1.42,0.107,454,0.622
"71",8,0.75,0.73945,1.89,0.0127,184,0.171
"72",8,1,0.84536,2.13,0.00175,140,0.0315
"73",9,-1,-0.82637,-2.09,0,1221,0.0166
"74",9,-0.75,-0.76795,-1.93,0.00524,1119,0.293
"75",9,-0.5,-0.70853,-1.77,0.023,1136,0.322
"76",9,-0.25,-0.42427,-1.09,0.35,1130,0.87
"77",9,0,-0.35118,-0.914,0.511,986,0.921
"78",9,0.25,0.49935,1.28,0.19,297,0.705
"79",9,0.5,0.63937,1.63,0.042,295,0.592
"80",9,0.75,0.78551,1.97,0.00362,147,0.067
"81",9,1,0.80363,2.02,0.00182,252,0.0937
