"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.43669,-1.09,0.347,1212,0.879
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.38101,-0.972,0.463,1050,0.862
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",-0.57201,-1.46,0.105,1266,1
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.34383,-0.858,0.591,1052,0.939
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.36838,0.938,0.479,195,0.725
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.49911,1.27,0.201,223,1
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",-0.49565,-1.23,0.214,1149,1
"8",1,"-1","Cell_No_1","AKT inhibitor",0.43966,1.12,0.295,186,0.747
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.39144,-1.01,0.433,961,0.852
"10",1,"-1","Cell_No_1","androgen receptor antagonist",-0.65488,-1.69,0.0273,1163,0.519
"11",1,"-1","Cell_No_1","antioxidant",0.44618,1.13,0.305,324,0.772
"12",1,"-1","Cell_No_1","AP inhibitor",-0.42298,-1.05,0.392,1089,0.883
"13",1,"-1","Cell_No_1","ATPase inhibitor",0.32902,0.825,0.664,501,0.769
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",0.38074,0.961,0.472,349,0.767
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",0.35611,0.908,0.54,30,0.726
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.58891,1.51,0.087,166,1
"17",1,"-1","Cell_No_1","BCL inhibitor",0.50205,1.3,0.193,336,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.41345,-1.04,0.421,1326,0.864
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",-0.45639,-1.19,0.264,1035,0.854
"20",1,"-1","Cell_No_1","bromodomain inhibitor",-0.75458,-1.89,0,1249,0.185
"21",1,"-1","Cell_No_1","calcium channel blocker",0.3459,0.876,0.584,323,0.757
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",0.56968,1.46,0.109,291,1
"23",1,"-1","Cell_No_1","CDK inhibitor",0.37414,0.957,0.504,248,0.744
"24",1,"-1","Cell_No_1","CHK inhibitor",0.46793,1.19,0.259,450,0.802
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",-0.32682,-0.843,0.666,1275,0.907
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",-0.46485,-1.21,0.233,1079,1
"27",1,"-1","Cell_No_1","DNA alkylating agent",0.57724,1.45,0.111,507,1
"28",1,"-1","Cell_No_1","DNA inhibitor",-0.28834,-0.738,0.759,995,0.957
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",0.4964,1.26,0.224,346,0.851
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",-0.48334,-1.2,0.242,1004,0.893
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",-0.22602,-0.57,0.942,997,0.963
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",0.26589,0.687,0.849,110,0.874
"33",1,"-1","Cell_No_1","estrogen receptor agonist",-0.33687,-0.846,0.63,906,0.931
"34",1,"-1","Cell_No_1","estrogen receptor antagonist",-0.32838,-0.841,0.638,809,0.883
"35",1,"-1","Cell_No_1","FGFR inhibitor",0.39811,1,0.429,74,0.828
"36",1,"-1","Cell_No_1","FLT3 inhibitor",-0.32531,-0.823,0.68,933,0.89
"37",1,"-1","Cell_No_1","glucocorticoid receptor agonist",-0.31185,-0.803,0.673,1152,0.899
"38",1,"-1","Cell_No_1","glutamate receptor antagonist",-0.52694,-1.34,0.148,1226,1
"39",1,"-1","Cell_No_1","glycogen synthase kinase inhibitor",-0.27825,-0.698,0.808,1228,0.99
"40",1,"-1","Cell_No_1","growth factor receptor inhibitor",-0.38207,-0.938,0.496,1127,0.868
"41",1,"-1","Cell_No_1","HCV inhibitor",0.41936,1.04,0.402,93,0.826
"42",1,"-1","Cell_No_1","HDAC inhibitor",0.23189,0.598,0.916,313,0.945
"43",1,"-1","Cell_No_1","histamine receptor antagonist",-0.46238,-1.13,0.319,990,0.946
"44",1,"-1","Cell_No_1","histone lysine methyltransferase inhibitor",0.61813,1.59,0.0629,519,1
"45",1,"-1","Cell_No_1","HMGCR inhibitor",0.34124,0.872,0.599,50,0.74
"46",1,"-1","Cell_No_1","HSP inhibitor",-0.26481,-0.65,0.857,931,1
"47",1,"-1","Cell_No_1","JAK inhibitor",0.43675,1.07,0.368,264,0.808
"48",1,"-1","Cell_No_1","KIT inhibitor",0.4688,1.18,0.284,174,0.766
"49",1,"-1","Cell_No_1","MDM inhibitor",0.51304,1.29,0.183,312,1
"50",1,"-1","Cell_No_1","MEK inhibitor",0.48644,1.26,0.21,177,0.851
"51",1,"-1","Cell_No_1","MET inhibitor",-0.54508,-1.36,0.15,1120,1
"52",1,"-1","Cell_No_1","microtubule inhibitor",-0.23951,-0.605,0.899,988,0.98
"53",1,"-1","Cell_No_1","mTOR inhibitor",0.21278,0.544,0.964,409,0.959
"54",1,"-1","Cell_No_1","NFkB pathway inhibitor",-0.18414,-0.48,0.99,1285,0.985
"55",1,"-1","Cell_No_1","opioid receptor agonist",-0.5352,-1.36,0.145,1308,1
"56",1,"-1","Cell_No_1","p38 MAPK inhibitor",-0.43842,-1.1,0.346,1268,0.907
"57",1,"-1","Cell_No_1","PARP inhibitor",0.38631,0.972,0.479,149,0.81
"58",1,"-1","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",0.31247,0.775,0.714,174,0.8
"59",1,"-1","Cell_No_1","phosphatase inhibitor",0.52301,1.33,0.164,245,1
"60",1,"-1","Cell_No_1","phosphodiesterase inhibitor",0.38304,0.951,0.519,214,0.727
"61",1,"-1","Cell_No_1","PI3K inhibitor",-0.41627,-1.06,0.355,1203,0.906
"62",1,"-1","Cell_No_1","PLK inhibitor",-0.27008,-0.671,0.852,1137,1
"63",1,"-1","Cell_No_1","potassium channel blocker",-0.37367,-0.947,0.487,820,0.882
"64",1,"-1","Cell_No_1","PPAR receptor agonist",-0.39763,-1.02,0.42,1343,0.868
"65",1,"-1","Cell_No_1","progesterone receptor agonist",-0.3487,-0.876,0.597,979,0.934
"66",1,"-1","Cell_No_1","proteasome inhibitor",0.39945,0.962,0.488,423,0.797
"67",1,"-1","Cell_No_1","protein synthesis inhibitor",-0.23491,-0.61,0.916,1348,0.999
"68",1,"-1","Cell_No_1","protein tyrosine kinase inhibitor",-0.51443,-1.33,0.158,1248,0.952
"69",1,"-1","Cell_No_1","RAF inhibitor",-0.36634,-0.926,0.528,1168,0.861
"70",1,"-1","Cell_No_1","RET tyrosine kinase inhibitor",0.44181,1.13,0.307,123,0.772
"71",1,"-1","Cell_No_1","retinoid receptor agonist",-0.39573,-1,0.44,1236,0.838
"72",1,"-1","Cell_No_1","ribonucleotide reductase inhibitor",-0.29298,-0.743,0.766,1046,0.975
"73",1,"-1","Cell_No_1","serotonin receptor agonist",-0.25153,-0.624,0.874,896,1
"74",1,"-1","Cell_No_1","serotonin receptor antagonist",0.30028,0.767,0.731,504,0.79
"75",1,"-1","Cell_No_1","sodium channel blocker",0.39929,1.03,0.4,64,0.806
"76",1,"-1","Cell_No_1","src inhibitor",0.36755,0.937,0.499,191,0.702
"77",1,"-1","Cell_No_1","sterol demethylase inhibitor",-0.49695,-1.25,0.193,922,1
"78",1,"-1","Cell_No_1","SYK inhibitor",-0.46685,-1.2,0.279,1151,0.893
"79",1,"-1","Cell_No_1","TGF beta receptor inhibitor",0.46541,1.19,0.256,156,0.802
"80",1,"-1","Cell_No_1","thymidylate synthase inhibitor",0.4702,1.2,0.243,98,0.922
"81",1,"-1","Cell_No_1","topoisomerase inhibitor",0.31667,0.813,0.659,293,0.765
"82",1,"-1","Cell_No_1","tubulin polymerization inhibitor",-0.22006,-0.576,0.95,950,0.98
"83",1,"-1","Cell_No_1","tyrosine kinase inhibitor",-0.43772,-1.11,0.324,1213,0.935
"84",1,"-1","Cell_No_1","VEGFR inhibitor",0.39912,0.992,0.433,191,0.805
"85",1,"-1","Cell_No_1","vitamin D receptor agonist",0.3288,0.833,0.642,199,0.78
"86",1,"-1","Cell_No_1","5_random_drugs",-0.86925,-2.24,0,1215,0.00839
"87",1,"-0.75","Cell_No_1","EGFR inhibitor",-0.43593,-1.08,0.364,1211,0.882
"88",1,"-0.75","Cell_No_1","Abl kinase inhibitor",-0.38026,-0.976,0.473,1049,0.838
"89",1,"-0.75","Cell_No_1","acetylcholine receptor agonist",-0.57126,-1.46,0.105,1265,1
"90",1,"-0.75","Cell_No_1","acetylcholine receptor antagonist",-0.34309,-0.863,0.627,1051,0.941
"91",1,"-0.75","Cell_No_1","adenosine receptor antagonist",0.36838,0.915,0.524,195,0.757
"92",1,"-0.75","Cell_No_1","adrenergic receptor agonist",0.49911,1.29,0.197,223,1
"93",1,"-0.75","Cell_No_1","adrenergic receptor antagonist",-0.4949,-1.27,0.186,1148,1
"94",1,"-0.75","Cell_No_1","AKT inhibitor",0.43966,1.09,0.348,186,0.784
"95",1,"-0.75","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.38994,-0.979,0.464,959,0.866
"96",1,"-0.75","Cell_No_1","androgen receptor antagonist",-0.65413,-1.66,0.0454,1162,0.612
"97",1,"-0.75","Cell_No_1","antioxidant",0.44618,1.11,0.325,324,0.786
"98",1,"-0.75","Cell_No_1","AP inhibitor",-0.42224,-1.06,0.379,1088,0.798
"99",1,"-0.75","Cell_No_1","ATPase inhibitor",0.32902,0.82,0.665,501,0.771
"100",1,"-0.75","Cell_No_1","Aurora kinase inhibitor",0.38074,0.953,0.489,349,0.774
"101",1,"-0.75","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",0.35611,0.901,0.574,30,0.755
"102",1,"-0.75","Cell_No_1","bacterial DNA gyrase inhibitor",0.58891,1.54,0.0688,166,1
"103",1,"-0.75","Cell_No_1","BCL inhibitor",0.50205,1.28,0.191,336,0.899
"104",1,"-0.75","Cell_No_1","Bcr.Abl kinase inhibitor",-0.41271,-1.07,0.375,1325,0.816
"105",1,"-0.75","Cell_No_1","benzodiazepine receptor agonist",-0.45565,-1.14,0.3,1034,0.894
"106",1,"-0.75","Cell_No_1","bromodomain inhibitor",-0.75309,-1.9,0.00977,1247,0.174
"107",1,"-0.75","Cell_No_1","calcium channel blocker",0.3459,0.892,0.546,323,0.745
"108",1,"-0.75","Cell_No_1","CC chemokine receptor antagonist",0.56968,1.42,0.12,291,1
"109",1,"-0.75","Cell_No_1","CDK inhibitor",0.37414,0.931,0.522,248,0.785
"110",1,"-0.75","Cell_No_1","CHK inhibitor",0.46793,1.2,0.234,450,0.739
"111",1,"-0.75","Cell_No_1","cyclooxygenase inhibitor",-0.43712,-1.11,0.325,1274,0.857
"112",1,"-0.75","Cell_No_1","cytochrome P450 inhibitor",-0.4641,-1.15,0.305,1078,0.929
"113",1,"-0.75","Cell_No_1","DNA alkylating agent",0.57724,1.44,0.107,507,1
"114",1,"-0.75","Cell_No_1","DNA inhibitor",-0.28759,-0.731,0.748,994,0.972
"115",1,"-0.75","Cell_No_1","DNA methyltransferase inhibitor",0.4964,1.28,0.193,346,0.899
"116",1,"-0.75","Cell_No_1","DNA polymerase inhibitor",-0.4826,-1.2,0.262,1003,1
"117",1,"-0.75","Cell_No_1","DNA synthesis inhibitor",-0.22527,-0.567,0.939,996,0.99
"118",1,"-0.75","Cell_No_1","dopamine receptor antagonist",0.26589,0.679,0.839,110,0.882
"119",1,"-0.75","Cell_No_1","estrogen receptor agonist",-0.33538,-0.859,0.619,904,0.888
"120",1,"-0.75","Cell_No_1","estrogen receptor antagonist",-0.3269,-0.82,0.648,807,0.932
"121",1,"-0.75","Cell_No_1","FGFR inhibitor",0.39811,1.03,0.388,74,0.792
"122",1,"-0.75","Cell_No_1","FLT3 inhibitor",-0.32381,-0.816,0.66,931,0.911
"123",1,"-0.75","Cell_No_1","glucocorticoid receptor agonist",-0.31109,-0.787,0.697,1151,0.935
"124",1,"-0.75","Cell_No_1","glutamate receptor antagonist",-0.52544,-1.33,0.185,1224,1
"125",1,"-0.75","Cell_No_1","glycogen synthase kinase inhibitor",-0.27676,-0.685,0.828,1226,1
"126",1,"-0.75","Cell_No_1","growth factor receptor inhibitor",-0.38133,-0.974,0.483,1126,0.81
"127",1,"-0.75","Cell_No_1","HCV inhibitor",0.41936,1.05,0.381,93,0.83
"128",1,"-0.75","Cell_No_1","HDAC inhibitor",0.23189,0.593,0.918,313,0.947
"129",1,"-0.75","Cell_No_1","histamine receptor antagonist",-0.46163,-1.16,0.287,989,0.972
"130",1,"-0.75","Cell_No_1","histone lysine methyltransferase inhibitor",0.61813,1.59,0.0648,519,1
"131",1,"-0.75","Cell_No_1","HMGCR inhibitor",0.34124,0.831,0.616,50,0.776
"132",1,"-0.75","Cell_No_1","HSP inhibitor",-0.26331,-0.652,0.864,929,1
"133",1,"-0.75","Cell_No_1","JAK inhibitor",0.33222,0.837,0.651,264,0.813
"134",1,"-0.75","Cell_No_1","KIT inhibitor",0.4688,1.18,0.266,174,0.732
"135",1,"-0.75","Cell_No_1","MDM inhibitor",0.51304,1.33,0.177,312,1
"136",1,"-0.75","Cell_No_1","MEK inhibitor",0.48644,1.24,0.21,177,0.834
