"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.19061,-0.477,0.982,1055,0.984
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.42429,-1.07,0.384,1330,0.905
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.36283,0.95,0.484,124,0.917
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",0.28337,0.766,0.691,283,0.971
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.43885,1.17,0.269,218,0.785
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.26348,0.707,0.827,224,0.991
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.22373,0.585,0.924,342,0.992
"8",1,"-1","Cell_No_1","AKT inhibitor",0.33043,0.867,0.616,54,0.95
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",0.39361,1.04,0.394,259,1
"10",1,"-1","Cell_No_1","androgen receptor antagonist",0.80735,2.07,0.00466,196,0.0962
"11",1,"-1","Cell_No_1","antioxidant",-0.30962,-0.778,0.745,1281,0.948
"12",1,"-1","Cell_No_1","AP inhibitor",-0.57215,-1.44,0.104,1242,0.593
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.33062,-0.825,0.638,1244,0.938
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.36459,-0.904,0.568,1331,1
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.53978,-1.4,0.12,1187,0.637
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",-0.34172,-0.854,0.611,1293,1
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.29737,-0.735,0.772,1096,0.973
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.5981,-1.48,0.11,1330,0.55
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",-0.21294,-0.543,0.947,1039,1
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.47771,1.25,0.245,117,0.762
"21",1,"-1","Cell_No_1","calcium channel blocker",0.54199,1.45,0.0993,220,0.705
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",-0.35621,-0.9,0.552,1095,0.982
"23",1,"-1","Cell_No_1","CDK inhibitor",0.38998,1.03,0.409,312,0.908
"24",1,"-1","Cell_No_1","CHK inhibitor",-0.54536,-1.38,0.141,1162,0.626
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",-0.44504,-1.15,0.281,1190,0.883
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",0.33808,0.866,0.566,11,0.907
"27",1,"-1","Cell_No_1","DNA alkylating agent",-0.33472,-0.829,0.667,1126,0.956
"28",1,"-1","Cell_No_1","DNA inhibitor",-0.28051,-0.703,0.808,947,0.952
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",-0.61887,-1.56,0.066,975,0.422
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",-0.76285,-1.89,0.00858,1107,0.124
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",0.23501,0.617,0.903,187,1
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",-0.33774,-0.845,0.65,1251,1
"33",1,"-1","Cell_No_1","estrogen receptor agonist",-0.69865,-1.77,0.0188,1182,0.252
"34",1,"-1","Cell_No_1","estrogen receptor antagonist",0.67637,1.77,0.0343,384,0.429
"35",1,"-1","Cell_No_1","FGFR inhibitor",-0.29126,-0.734,0.796,1050,0.952
"36",1,"-1","Cell_No_1","FLT3 inhibitor",-0.4718,-1.2,0.246,1241,1
"37",1,"-1","Cell_No_1","glucocorticoid receptor agonist",-0.2366,-0.599,0.899,954,1
"38",1,"-1","Cell_No_1","glutamate receptor antagonist",0.2015,0.538,0.966,32,0.962
"39",1,"-1","Cell_No_1","glycogen synthase kinase inhibitor",-0.37767,-0.939,0.525,1110,0.997
"40",1,"-1","Cell_No_1","growth factor receptor inhibitor",0.36601,0.96,0.478,391,0.949
"41",1,"-1","Cell_No_1","HCV inhibitor",-0.45921,-1.16,0.264,1015,0.909
"42",1,"-1","Cell_No_1","HDAC inhibitor",-0.36733,-0.925,0.519,902,0.993
