"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",0.27818,0.7,0.798,325,0.955
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",0.43441,1.13,0.302,164,1
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",-0.43773,-1.12,0.301,1078,0.842
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",0.57987,1.46,0.106,138,1
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.3639,0.967,0.496,228,1
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.34933,0.891,0.574,237,1
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",-0.24383,-0.644,0.896,1198,0.957
"8",1,"-1","Cell_No_1","AKT inhibitor",-0.28127,-0.72,0.796,1232,0.914
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",0.50666,1.29,0.174,358,1
"10",1,"-1","Cell_No_1","androgen receptor antagonist",0.42867,1.09,0.35,311,0.993
"11",1,"-1","Cell_No_1","antioxidant",0.51091,1.34,0.158,65,1
"12",1,"-1","Cell_No_1","AP inhibitor",-0.29987,-0.78,0.701,1004,0.94
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.47645,-1.23,0.224,1108,1
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.42212,-1.09,0.355,1157,0.753
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.39744,-1.02,0.421,1348,0.769
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.3902,1,0.449,234,1
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.48235,-1.25,0.235,1292,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",0.54595,1.39,0.144,164,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",0.38314,0.97,0.45,180,1
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.34667,0.89,0.572,321,1
"21",1,"-1","Cell_No_1","calcium channel blocker",0.31416,0.797,0.699,308,0.92
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",-0.36914,-0.958,0.474,1016,0.786
