"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.81768,-2.07,0,1123,0.057
"2",1,-0.75,-0.71517,-1.79,0.0153,1049,0.241
"3",1,-0.5,-0.63279,-1.63,0.0502,1206,0.387
"4",1,-0.25,-0.51237,-1.3,0.194,1078,0.636
"5",1,0,-0.35984,-0.964,0.506,950,1
"6",1,0.25,0.42363,1.08,0.351,428,0.807
"7",1,0.5,0.7674,1.95,0.00534,213,0.226
"8",1,0.75,0.80588,2.01,0,171,0.107
"9",1,1,0.78665,1.95,0.00551,214,0.21
"10",2,-1,-0.83216,-2.12,0,1157,0.0184
"11",2,-0.75,-0.81211,-2.09,0,1213,0.0441
"12",2,-0.5,-0.66425,-1.68,0.0377,1119,0.714
"13",2,-0.25,-0.48703,-1.23,0.251,1013,0.768
"14",2,0,0.29769,0.757,0.77,6,1
"15",2,0.25,0.61843,1.58,0.0648,467,0.529
"16",2,0.5,0.72573,1.87,0.0191,209,0.543
"17",2,0.75,0.82859,2.09,0.00188,161,0.0492
"18",2,1,0.83763,2.08,0.00176,193,0.0708
"19",3,-1,-0.86933,-2.18,0,1261,0.0112
"20",3,-0.75,-0.8022,-2.03,0.0056,1188,0.076
"21",3,-0.5,-0.64479,-1.6,0.0548,976,0.622
"22",3,-0.25,-0.67327,-1.7,0.0411,1050,0.475
"23",3,0,0.33378,0.852,0.611,430,0.908
"24",3,0.25,0.61288,1.48,0.0896,137,0.513
"25",3,0.5,0.6393,1.59,0.0631,168,0.642
"26",3,0.75,0.80235,2.08,0.00198,172,0.0395
"27",3,1,0.86134,2.1,0.00186,113,0.0315
"28",4,-1,-0.84406,-2.18,0,1205,0.0187
"29",4,-0.75,-0.79912,-2.06,0,1184,0.0742
"30",4,-0.5,-0.62961,-1.64,0.0384,1175,0.954
"31",4,-0.25,-0.38395,-1.02,0.421,1044,1
"32",4,0,0.30156,0.769,0.725,58,1
"33",4,0.25,0.29558,0.759,0.748,475,1
"34",4,0.5,0.75649,1.93,0.00565,102,0.334
"35",4,0.75,0.79324,2,0,188,0.177
"36",4,1,0.89802,2.33,0,82,0.0023
"37",5,-1,-0.8266,-2.11,0,1121,0.0134
