"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.26079,-0.661,0.87,907,0.972
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",0.37052,0.938,0.522,184,0.963
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",-0.42085,-1.09,0.335,1347,1
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.33416,-0.835,0.638,1222,0.83
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.40591,1.04,0.427,303,1
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.34628,0.882,0.586,436,0.955
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.41748,1.04,0.41,185,1
"8",1,"-1","Cell_No_1","AKT inhibitor",0.37056,0.943,0.502,101,1
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.39414,-0.99,0.443,743,1
"10",1,"-1","Cell_No_1","androgen receptor antagonist",-0.33983,-0.859,0.602,1280,0.854
"11",1,"-1","Cell_No_1","antioxidant",0.52278,1.32,0.167,98,1
"12",1,"-1","Cell_No_1","AP inhibitor",0.29844,0.764,0.715,256,1
"13",1,"-1","Cell_No_1","ATPase inhibitor",0.33882,0.847,0.636,346,0.941
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.23642,-0.589,0.921,1166,0.957
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.36856,-0.931,0.517,1063,1
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.37077,0.921,0.529,368,0.935
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.43975,-1.11,0.317,1320,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",0.46425,1.19,0.236,184,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",0.27274,0.683,0.841,100,1
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.45602,1.14,0.295,30,1
"21",1,"-1","Cell_No_1","calcium channel blocker",-0.33391,-0.851,0.597,1046,0.835
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",0.37564,0.942,0.513,489,1
"23",1,"-1","Cell_No_1","CDK inhibitor",0.3305,0.848,0.617,88,0.967
"24",1,"-1","Cell_No_1","CHK inhibitor",0.38114,0.961,0.48,167,1
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",0.32511,0.833,0.678,132,0.943
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",0.45898,1.16,0.292,142,1
"27",1,"-1","Cell_No_1","DNA alkylating agent",0.61822,1.55,0.0762,211,1
"28",1,"-1","Cell_No_1","DNA inhibitor",0.44971,1.13,0.285,226,1
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",-0.43665,-1.11,0.341,1244,1
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",0.40703,1.01,0.432,508,1
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",-0.66372,-1.69,0.0393,1302,0.399
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",0.28766,0.724,0.79,299,1
"33",1,"-1","Cell_No_1","estrogen receptor agonist",-0.47259,-1.21,0.243,1032,1
"34",1,"-1","Cell_No_1","estrogen receptor antagonist",-0.29434,-0.743,0.772,982,0.888
"35",1,"-1","Cell_No_1","FGFR inhibitor",-0.3574,-0.917,0.544,1295,1
"36",1,"-1","Cell_No_1","FLT3 inhibitor",-0.25863,-0.654,0.858,1169,0.95
"37",1,"-1","Cell_No_1","glucocorticoid receptor agonist",0.26414,0.678,0.843,224,0.979
"38",1,"-1","Cell_No_1","glutamate receptor antagonist",-0.38277,-0.975,0.491,1017,1
"39",1,"-1","Cell_No_1","glycogen synthase kinase inhibitor",0.31856,0.82,0.669,71,0.94
"40",1,"-1","Cell_No_1","growth factor receptor inhibitor",0.40686,1.04,0.412,106,1
"41",1,"-1","Cell_No_1","HCV inhibitor",-0.35278,-0.886,0.569,1034,0.956
"42",1,"-1","Cell_No_1","HDAC inhibitor",0.25884,0.644,0.88,369,0.935
"43",1,"-1","Cell_No_1","histamine receptor antagonist",0.25279,0.626,0.884,335,0.934
"44",1,"-1","Cell_No_1","histone lysine methyltransferase inhibitor",0.50294,1.27,0.207,170,1
"45",1,"-1","Cell_No_1","HMGCR inhibitor",-0.41756,-1.06,0.355,1105,1
"46",1,"-1","Cell_No_1","HSP inhibitor",0.45576,1.19,0.258,364,1
"47",1,"-1","Cell_No_1","JAK inhibitor",0.38732,0.991,0.449,336,1
"48",1,"-1","Cell_No_1","KIT inhibitor",-0.3562,-0.905,0.547,1252,1
"49",1,"-1","Cell_No_1","MDM inhibitor",-0.4307,-1.08,0.338,1121,1
"50",1,"-1","Cell_No_1","MEK inhibitor",-0.36754,-0.943,0.519,1297,1
"51",1,"-1","Cell_No_1","MET inhibitor",0.36431,0.923,0.538,861,0.964
"52",1,"-1","Cell_No_1","microtubule inhibitor",0.47452,1.18,0.26,273,1
"53",1,"-1","Cell_No_1","mTOR inhibitor",-0.34314,-0.885,0.568,1104,0.915
"54",1,"-1","Cell_No_1","NFkB pathway inhibitor",-0.34958,-0.899,0.54,1184,0.975
"55",1,"-1","Cell_No_1","opioid receptor agonist",-0.33506,-0.86,0.637,1062,0.927
"56",1,"-1","Cell_No_1","p38 MAPK inhibitor",0.29916,0.758,0.753,162,1
"57",1,"-1","Cell_No_1","PARP inhibitor",0.62478,1.6,0.0571,85,1
"58",1,"-1","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",-0.21235,-0.542,0.962,1126,0.961
"59",1,"-1","Cell_No_1","phosphatase inhibitor",0.26324,0.653,0.851,998,0.966
"60",1,"-1","Cell_No_1","phosphodiesterase inhibitor",-0.40389,-1.03,0.41,1124,1
"61",1,"-1","Cell_No_1","PI3K inhibitor",0.22775,0.572,0.943,445,0.961
"62",1,"-1","Cell_No_1","PLK inhibitor",0.34994,0.895,0.547,213,0.957
"63",1,"-1","Cell_No_1","potassium channel blocker",0.45056,1.14,0.313,745,1
"64",1,"-1","Cell_No_1","PPAR receptor agonist",0.37309,0.94,0.515,4,0.996
"65",1,"-1","Cell_No_1","progesterone receptor agonist",-0.44216,-1.11,0.324,1203,1
"66",1,"-1","Cell_No_1","proteasome inhibitor",0.41812,1.07,0.341,196,1
"67",1,"-1","Cell_No_1","protein synthesis inhibitor",0.43875,1.13,0.294,191,1
"68",1,"-1","Cell_No_1","protein tyrosine kinase inhibitor",0.33847,0.849,0.624,253,0.995
"69",1,"-1","Cell_No_1","RAF inhibitor",-0.31371,-0.775,0.715,1181,0.869
"70",1,"-1","Cell_No_1","RET tyrosine kinase inhibitor",-0.33969,-0.859,0.617,1156,0.854
"71",1,"-1","Cell_No_1","retinoid receptor agonist",0.27716,0.71,0.793,339,1
"72",1,"-1","Cell_No_1","ribonucleotide reductase inhibitor",-0.32035,-0.807,0.688,1264,0.848
"73",1,"-1","Cell_No_1","serotonin receptor agonist",-0.24455,-0.624,0.922,1049,0.953
"74",1,"-1","Cell_No_1","serotonin receptor antagonist",0.27098,0.682,0.841,180,0.997
"75",1,"-1","Cell_No_1","sodium channel blocker",0.41268,1.03,0.387,302,1
"76",1,"-1","Cell_No_1","src inhibitor",0.25926,0.646,0.889,184,0.953
"77",1,"-1","Cell_No_1","sterol demethylase inhibitor",0.55105,1.43,0.101,129,1
"78",1,"-1","Cell_No_1","SYK inhibitor",-0.54761,-1.38,0.144,1242,1
"79",1,"-1","Cell_No_1","TGF beta receptor inhibitor",0.41739,1.06,0.386,84,1
"80",1,"-1","Cell_No_1","thymidylate synthase inhibitor",0.58061,1.45,0.0978,293,1
"81",1,"-1","Cell_No_1","topoisomerase inhibitor",-0.38003,-0.976,0.435,923,1
"82",1,"-1","Cell_No_1","tubulin polymerization inhibitor",0.29203,0.721,0.798,384,1
"83",1,"-1","Cell_No_1","tyrosine kinase inhibitor",0.27067,0.675,0.853,253,0.961
"84",1,"-1","Cell_No_1","VEGFR inhibitor",0.17461,0.437,0.988,338,0.995
"85",1,"-1","Cell_No_1","vitamin D receptor agonist",-0.73904,-1.92,0.00842,1200,0.114
"86",1,"-1","Cell_No_1","6_random_drugs",-0.8829,-2.26,0,1278,0.00336
"87",1,"-0.75","Cell_No_1","EGFR inhibitor",-0.26232,-0.68,0.835,909,0.958
"88",1,"-0.75","Cell_No_1","Abl kinase inhibitor",0.37052,0.944,0.502,184,1
"89",1,"-0.75","Cell_No_1","acetylcholine receptor agonist",0.50689,1.28,0.198,199,1
"90",1,"-0.75","Cell_No_1","acetylcholine receptor antagonist",-0.33565,-0.862,0.589,1224,0.921
"91",1,"-0.75","Cell_No_1","adenosine receptor antagonist",0.40591,0.995,0.432,303,1
"92",1,"-0.75","Cell_No_1","adrenergic receptor agonist",0.34628,0.844,0.641,436,0.976
"93",1,"-0.75","Cell_No_1","adrenergic receptor antagonist",0.41748,1.04,0.384,185,1
"94",1,"-0.75","Cell_No_1","AKT inhibitor",0.37056,0.912,0.547,101,0.979
"95",1,"-0.75","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.39563,-0.99,0.443,745,1
"96",1,"-0.75","Cell_No_1","androgen receptor antagonist",-0.34058,-0.859,0.601,1281,0.884
"97",1,"-0.75","Cell_No_1","antioxidant",0.52278,1.27,0.206,98,1
"98",1,"-0.75","Cell_No_1","AP inhibitor",0.29844,0.749,0.782,256,1
"99",1,"-0.75","Cell_No_1","ATPase inhibitor",0.33882,0.849,0.624,346,0.995
"100",1,"-0.75","Cell_No_1","Aurora kinase inhibitor",-0.23793,-0.604,0.91,1168,0.946
"101",1,"-0.75","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.3708,-0.948,0.509,1066,1
"102",1,"-0.75","Cell_No_1","bacterial DNA gyrase inhibitor",0.37077,0.921,0.572,368,0.992
"103",1,"-0.75","Cell_No_1","BCL inhibitor",-0.44124,-1.15,0.273,1322,1
"104",1,"-0.75","Cell_No_1","Bcr.Abl kinase inhibitor",0.46425,1.15,0.305,184,1
"105",1,"-0.75","Cell_No_1","benzodiazepine receptor agonist",0.27274,0.699,0.813,100,1
"106",1,"-0.75","Cell_No_1","bromodomain inhibitor",0.45602,1.15,0.3,30,1
"107",1,"-0.75","Cell_No_1","calcium channel blocker",-0.33615,-0.858,0.618,1049,0.813
"108",1,"-0.75","Cell_No_1","CC chemokine receptor antagonist",0.37564,0.959,0.477,489,1
"109",1,"-0.75","Cell_No_1","CDK inhibitor",0.31508,0.79,0.726,88,1
"110",1,"-0.75","Cell_No_1","CHK inhibitor",0.38114,0.965,0.486,167,1
"111",1,"-0.75","Cell_No_1","cyclooxygenase inhibitor",0.32511,0.807,0.701,132,1
"112",1,"-0.75","Cell_No_1","cytochrome P450 inhibitor",0.45898,1.19,0.273,142,1
"113",1,"-0.75","Cell_No_1","DNA alkylating agent",0.61822,1.57,0.0545,211,1
"114",1,"-0.75","Cell_No_1","DNA inhibitor",0.44971,1.12,0.313,226,1
