"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.84362,-2.18,0,1268,0.0128
"2",1,-0.75,-0.81164,-2.07,0.00204,1162,0.0653
"3",1,-0.5,-0.62779,-1.62,0.0451,1193,1
"4",1,-0.25,-0.45824,-1.17,0.25,945,0.984
"5",1,0,0.4212,1.08,0.364,232,0.997
"6",1,0.25,0.36677,0.931,0.536,363,0.887
"7",1,0.5,0.66438,1.62,0.0325,213,0.824
"8",1,0.75,0.73348,1.87,0.0147,223,0.385
"9",1,1,0.83803,2.04,0.0018,158,0.0831
"10",2,-1,-0.84776,-2.1,0,1258,0.023
"11",2,-0.75,-0.75632,-1.92,0.00752,1187,0.252
"12",2,-0.5,-0.62096,-1.55,0.0709,1050,1
"13",2,-0.25,-0.58963,-1.48,0.0953,896,1
"14",2,0,-0.52106,-1.34,0.156,1082,1
"15",2,0.25,0.48031,1.23,0.213,417,0.93
"16",2,0.5,0.70215,1.77,0.0244,146,0.263
"17",2,0.75,0.78861,1.95,0.00794,261,0.18
"18",2,1,0.87757,2.2,0,94,0.00458
"19",3,-1,-0.88161,-2.25,0,1258,0
"20",3,-0.75,-0.67369,-1.7,0.0264,1146,0.554
"21",3,-0.5,-0.61234,-1.53,0.06,1218,0.592
"22",3,-0.25,-0.51969,-1.28,0.204,1053,0.852
"23",3,0,0.24612,0.619,0.89,302,0.982
"24",3,0.25,0.53273,1.36,0.141,412,0.809
"25",3,0.5,0.69336,1.76,0.0186,147,0.363
"26",3,0.75,0.80429,2.01,0.00394,146,0.131
"27",3,1,0.86825,2.17,0,171,0.0176
"28",4,-1,-0.74386,-1.9,0.00978,1093,0.163
"29",4,-0.75,-0.79106,-2,0.00206,1148,0.125
"30",4,-0.5,-0.72731,-1.85,0.0145,1102,0.239
"31",4,-0.25,-0.35192,-0.911,0.538,933,0.876
"32",4,0,0.27986,0.7,0.826,303,1
"33",4,0.25,0.5752,1.47,0.102,183,1
"34",4,0.5,0.672,1.69,0.0234,280,1
"35",4,0.75,0.76696,1.88,0.00528,229,0.349
"36",4,1,0.81267,2.02,0.00344,225,0.0793
"37",5,-1,-0.82554,-2.11,0,1212,0.0288
"38",5,-0.75,-0.76674,-1.95,0,1137,0.11
"39",5,-0.5,-0.62568,-1.63,0.0477,929,0.99
"40",5,-0.25,-0.39573,-1,0.433,972,1
"41",5,0,0.29498,0.753,0.752,233,0.988
"42",5,0.25,0.51766,1.29,0.199,452,0.876
"43",5,0.5,0.74,1.87,0.00731,237,0.496
"44",5,0.75,0.73871,1.83,0.00533,185,0.588
"45",5,1,0.78528,1.96,0.00179,88,0.234
"46",6,-1,-0.86649,-2.26,0,1192,0.0029
"47",6,-0.75,-0.7443,-1.87,0.00931,1104,0.155
"48",6,-0.5,-0.67426,-1.75,0.0321,1044,0.262
"49",6,-0.25,-0.5146,-1.35,0.157,928,0.625
"50",6,0,0.24936,0.646,0.88,171,1
"51",6,0.25,0.47566,1.21,0.234,250,0.764
"52",6,0.5,0.64214,1.66,0.0551,286,0.49
"53",6,0.75,0.73414,1.9,0.00771,268,0.335
