"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",0.30917,0.806,0.704,241,0.975
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.24141,-0.611,0.914,1164,0.93
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.6031,1.6,0.0522,227,0.436
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",0.69015,1.78,0.0195,298,0.533
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.19265,0.505,0.982,412,1
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.16821,0.441,0.988,34,1
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.14843,0.397,1,440,0.998
"8",1,"-1","Cell_No_1","AKT inhibitor",-0.40643,-1.01,0.428,1203,0.868
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",0.65239,1.69,0.056,371,0.439
"10",1,"-1","Cell_No_1","androgen receptor antagonist",0.32639,0.851,0.635,912,0.956
"11",1,"-1","Cell_No_1","antioxidant",0.60308,1.6,0.0573,113,0.436
"12",1,"-1","Cell_No_1","AP inhibitor",0.50282,1.32,0.183,255,0.596
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.29442,-0.741,0.764,1015,1
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.35093,-0.872,0.608,1156,1
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.48807,-1.23,0.24,1161,0.856
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",-0.32389,-0.808,0.68,1316,1
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.58568,-1.49,0.0805,1276,0.635
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.28064,-0.713,0.8,1164,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",-0.28948,-0.709,0.811,1093,0.956
"20",1,"-1","Cell_No_1","bromodomain inhibitor",-0.73215,-1.87,0.00859,1137,0.181
"21",1,"-1","Cell_No_1","calcium channel blocker",0.27274,0.717,0.808,187,0.978
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",-0.55587,-1.4,0.114,1189,0.622
"23",1,"-1","Cell_No_1","CDK inhibitor",-0.28102,-0.704,0.809,1020,0.937
"24",1,"-1","Cell_No_1","CHK inhibitor",0.3194,0.856,0.607,457,1
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",-0.31734,-0.803,0.686,1199,1
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",0.49561,1.26,0.223,535,0.672
"27",1,"-1","Cell_No_1","DNA alkylating agent",-0.42627,-1.07,0.373,1160,0.815
"28",1,"-1","Cell_No_1","DNA inhibitor",-0.27695,-0.698,0.823,1280,0.921
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",0.32154,0.853,0.603,383,0.989
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",-0.28619,-0.71,0.798,781,0.982
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",-0.29997,-0.754,0.738,1167,1
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",-0.28489,-0.732,0.783,1110,1
"33",1,"-1","Cell_No_1","estrogen receptor agonist",-0.4294,-1.08,0.344,1170,0.835
"34",1,"-1","Cell_No_1","estrogen receptor antagonist",0.38991,1.02,0.42,99,1
"35",1,"-1","Cell_No_1","FGFR inhibitor",0.24161,0.615,0.923,1027,1
"36",1,"-1","Cell_No_1","FLT3 inhibitor",0.41278,1.09,0.342,283,1
"37",1,"-1","Cell_No_1","glucocorticoid receptor agonist",-0.29254,-0.739,0.777,1238,1
"38",1,"-1","Cell_No_1","glutamate receptor antagonist",-0.306,-0.749,0.761,1056,1
"39",1,"-1","Cell_No_1","glycogen synthase kinase inhibitor",0.56843,1.48,0.107,259,0.468
"40",1,"-1","Cell_No_1","growth factor receptor inhibitor",-0.57719,-1.46,0.0938,1302,0.544
"41",1,"-1","Cell_No_1","HCV inhibitor",0.57462,1.47,0.127,93,0.439
"42",1,"-1","Cell_No_1","HDAC inhibitor",-0.2129,-0.54,0.973,1120,0.959
"43",1,"-1","Cell_No_1","histamine receptor antagonist",-0.40038,-1.02,0.426,958,0.885
"44",1,"-1","Cell_No_1","histone lysine methyltransferase inhibitor",0.56755,1.49,0.0862,117,0.506
"45",1,"-1","Cell_No_1","HMGCR inhibitor",0.28022,0.731,0.788,297,0.984
"46",1,"-1","Cell_No_1","HSP inhibitor",0.28467,0.757,0.751,406,0.971
"47",1,"-1","Cell_No_1","JAK inhibitor",0.36648,0.974,0.459,283,1
"48",1,"-1","Cell_No_1","KIT inhibitor",0.1985,0.53,0.97,1086,1
"49",1,"-1","Cell_No_1","MDM inhibitor",-0.56984,-1.46,0.113,1252,0.544
"50",1,"-1","Cell_No_1","MEK inhibitor",-0.35005,-0.884,0.6,917,1
"51",1,"-1","Cell_No_1","MET inhibitor",0.72082,1.87,0.0174,358,0.622
"52",1,"-1","Cell_No_1","microtubule inhibitor",-0.35822,-0.909,0.552,1122,1
"53",1,"-1","Cell_No_1","mTOR inhibitor",-0.27262,-0.689,0.818,1192,0.91
"54",1,"-1","Cell_No_1","NFkB pathway inhibitor",0.50448,1.32,0.171,276,0.596
"55",1,"-1","Cell_No_1","opioid receptor agonist",0.35636,0.939,0.501,420,1
"56",1,"-1","Cell_No_1","p38 MAPK inhibitor",-0.52439,-1.33,0.149,1281,0.729
"57",1,"-1","Cell_No_1","PARP inhibitor",-0.44593,-1.13,0.308,1345,0.77
"58",1,"-1","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",0.19955,0.537,0.951,1086,1
"59",1,"-1","Cell_No_1","phosphatase inhibitor",-0.38745,-0.966,0.488,1043,0.926
"60",1,"-1","Cell_No_1","phosphodiesterase inhibitor",0.35117,0.923,0.519,4,1
"61",1,"-1","Cell_No_1","PI3K inhibitor",0.29474,0.763,0.689,64,0.992
"62",1,"-1","Cell_No_1","PLK inhibitor",0.40088,1.07,0.357,206,1
"63",1,"-1","Cell_No_1","potassium channel blocker",0.65938,1.72,0.0351,128,0.498
"64",1,"-1","Cell_No_1","PPAR receptor agonist",0.56637,1.49,0.0968,20,0.506
"65",1,"-1","Cell_No_1","progesterone receptor agonist",0.31543,0.824,0.635,185,0.974
"66",1,"-1","Cell_No_1","proteasome inhibitor",0.29852,0.775,0.726,467,1
"67",1,"-1","Cell_No_1","protein synthesis inhibitor",0.32803,0.866,0.578,36,1
"68",1,"-1","Cell_No_1","protein tyrosine kinase inhibitor",0.3558,0.959,0.498,12,1
"69",1,"-1","Cell_No_1","RAF inhibitor",-0.45416,-1.13,0.304,1278,0.77
"70",1,"-1","Cell_No_1","RET tyrosine kinase inhibitor",-0.62609,-1.61,0.0609,1272,0.527
"71",1,"-1","Cell_No_1","retinoid receptor agonist",0.38152,1.01,0.432,327,1
"72",1,"-1","Cell_No_1","ribonucleotide reductase inhibitor",-0.47839,-1.2,0.256,1054,0.807
"73",1,"-1","Cell_No_1","serotonin receptor agonist",-0.46716,-1.15,0.295,977,0.872
"74",1,"-1","Cell_No_1","serotonin receptor antagonist",-0.34664,-0.857,0.624,1106,1
"75",1,"-1","Cell_No_1","sodium channel blocker",0.33009,0.854,0.603,23,1
"76",1,"-1","Cell_No_1","src inhibitor",0.32744,0.871,0.606,319,1
"77",1,"-1","Cell_No_1","sterol demethylase inhibitor",-0.45327,-1.13,0.317,1182,0.77
