"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.27723,-0.699,0.814,1128,0.936
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.35951,-0.914,0.558,993,0.997
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.64129,1.62,0.0518,385,0.736
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",0.5012,1.33,0.16,411,0.965
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",0.41104,1.07,0.361,381,0.9
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.31894,0.834,0.628,131,0.85
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.29608,0.773,0.721,201,0.819
"8",1,"-1","Cell_No_1","AKT inhibitor",0.41398,1.1,0.333,291,0.885
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.45362,-1.15,0.283,1081,1
"10",1,"-1","Cell_No_1","androgen receptor antagonist",-0.56669,-1.4,0.131,946,1
"11",1,"-1","Cell_No_1","antioxidant",-0.26258,-0.659,0.858,1049,0.92
"12",1,"-1","Cell_No_1","AP inhibitor",-0.3415,-0.833,0.634,1043,0.986
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.23413,-0.586,0.943,1314,0.948
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.33434,-0.825,0.654,1225,0.884
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",0.51782,1.35,0.154,221,1
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.49177,1.28,0.222,268,0.982
"17",1,"-1","Cell_No_1","BCL inhibitor",0.46684,1.21,0.23,144,0.809
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.36957,-0.929,0.506,1295,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",-0.42138,-1.05,0.375,1003,0.995
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.34752,0.9,0.549,223,0.849
"21",1,"-1","Cell_No_1","calcium channel blocker",-0.41536,-1.06,0.389,1074,1
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",0.66337,1.74,0.0385,209,1
"23",1,"-1","Cell_No_1","CDK inhibitor",0.21601,0.569,0.949,429,0.942
"24",1,"-1","Cell_No_1","CHK inhibitor",-0.60513,-1.55,0.0664,1034,1
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",0.30224,0.757,0.727,157,0.821
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",0.51509,1.36,0.141,449,1
"27",1,"-1","Cell_No_1","DNA alkylating agent",-0.36024,-0.913,0.543,1006,0.961
"28",1,"-1","Cell_No_1","DNA inhibitor",0.28856,0.741,0.761,99,0.799
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",-0.32656,-0.831,0.648,1011,0.958
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",0.31629,0.828,0.67,301,0.833
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",-0.25902,-0.648,0.881,1222,0.911
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",0.48174,1.25,0.19,115,0.786
"33",1,"-1","Cell_No_1","estrogen receptor agonist",-0.44262,-1.13,0.306,1025,1
