"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.93438,-2.35,0,1253,0.0017
"2",1,-0.75,-0.83462,-2.11,0.002,1160,0.038
"3",1,-0.5,-0.74308,-1.94,0.00806,1136,0.209
"4",1,-0.25,-0.50746,-1.31,0.166,987,1
"5",1,0,-0.27625,-0.706,0.812,1253,0.959
"6",1,0.25,0.68307,1.71,0.0281,224,0.725
"7",1,0.5,0.64819,1.64,0.04,147,1
"8",1,0.75,0.75246,1.89,0.00806,227,0.383
"9",1,1,0.81893,2.12,0,145,0.0356
"10",2,-1,-0.86157,-2.15,0,1216,0.0176
"11",2,-0.75,-0.74818,-1.88,0.0179,1082,0.381
"12",2,-0.5,-0.70865,-1.74,0.0104,1222,1
"13",2,-0.25,-0.35492,-0.897,0.567,1131,0.915
"14",2,0,0.35944,0.904,0.548,332,0.934
"15",2,0.25,0.49453,1.25,0.223,415,0.717
"16",2,0.5,0.72707,1.82,0.0159,376,0.282
"17",2,0.75,0.88441,2.27,0,165,0
"18",2,1,0.87616,2.15,0,130,0.0143
"19",3,-1,-0.84636,-2.11,0,1235,0.0397
"20",3,-0.75,-0.77649,-2,0.00208,1093,0.107
"21",3,-0.5,-0.74715,-1.91,0.0104,1216,0.306
"22",3,-0.25,-0.60129,-1.54,0.0532,1123,0.674
"23",3,0,0.42097,1.07,0.367,163,0.73
"24",3,0.25,-0.27434,-0.716,0.8,1084,0.923
"25",3,0.5,0.5965,1.47,0.09,181,0.485
"26",3,0.75,0.84939,2.1,0,123,0.0448
"27",3,1,0.87477,2.26,0,124,0.00112
"28",4,-1,-0.79946,-2.02,0,1201,0.105
"29",4,-0.75,-0.84365,-2.17,0,1209,0.0161
"30",4,-0.5,-0.6699,-1.7,0.0248,941,0.664
"31",4,-0.25,-0.68735,-1.73,0.0276,989,0.533
"32",4,0,-0.27846,-0.704,0.784,1299,1
"33",4,0.25,0.42334,1.06,0.369,348,1
"34",4,0.5,0.65127,1.63,0.0404,46,1
"35",4,0.75,0.81653,2.1,0,178,0.0551
"36",4,1,0.84191,2.1,0,222,0.0361
"37",5,-1,-0.76744,-1.98,0.0055,1311,0.181
"38",5,-0.75,-0.66432,-1.65,0.0427,1055,0.684
"39",5,-0.5,-0.85307,-2.16,0,1186,0.0148
"40",5,-0.25,-0.41351,-1.05,0.399,936,0.92
"41",5,0,0.32476,0.84,0.632,240,0.94
"42",5,0.25,0.73097,1.87,0.00806,147,0.194
"43",5,0.5,0.65858,1.66,0.0312,215,0.809
"44",5,0.75,0.75249,1.9,0.00605,55,0.143
"45",5,1,0.7832,1.98,0.00195,270,0.148
"46",6,-1,-0.88218,-2.16,0,1183,0.0145
"47",6,-0.75,-0.82445,-2.1,0,1214,0.0503
"48",6,-0.5,-0.63173,-1.63,0.0392,926,0.544
"49",6,-0.25,-0.55199,-1.4,0.124,1163,0.766
"50",6,0,0.61037,1.53,0.0565,85,0.941
"51",6,0.25,0.24463,0.632,0.901,38,0.915
"52",6,0.5,0.54441,1.39,0.12,325,0.752
