"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.87901,-2.24,0.00182,1255,0.00984
"2",1,-0.75,-0.74612,-1.94,0.00189,1163,0.29
"3",1,-0.5,-0.75244,-1.92,0.0116,1200,0.316
"4",1,-0.25,-0.49138,-1.25,0.201,882,1
"5",1,0,0.20855,0.524,0.971,365,0.968
"6",1,0.25,0.48625,1.23,0.22,418,0.919
"7",1,0.5,0.69413,1.74,0.0195,167,1
"8",1,0.75,0.74391,1.84,0.0196,315,0.551
"9",1,1,0.81778,2.04,0.00329,240,0.0555
"10",2,-1,-0.85785,-2.16,0.00181,1218,0.00825
"11",2,-0.75,-0.78428,-1.96,0.00355,1171,0.187
"12",2,-0.5,-0.65118,-1.68,0.0476,1119,0.429
"13",2,-0.25,-0.52719,-1.36,0.154,1063,0.675
"14",2,0,0.25401,0.65,0.858,230,1
"15",2,0.25,0.50544,1.31,0.186,316,0.62
"16",2,0.5,0.62884,1.6,0.0617,323,0.438
"17",2,0.75,0.80247,2,0.00357,78,0.137
"18",2,1,0.83201,2.11,0.00175,110,0.0382
"19",3,-1,-0.7727,-1.91,0.00549,1081,0.237
"20",3,-0.75,-0.72529,-1.82,0.0108,1173,0.627
"21",3,-0.5,-0.60918,-1.53,0.097,1176,0.798
"22",3,-0.25,-0.45158,-1.14,0.315,1025,1
"23",3,0,0.30164,0.757,0.754,447,0.875
"24",3,0.25,0.33075,0.842,0.626,193,0.966
"25",3,0.5,0.65533,1.66,0.0442,153,1
"26",3,0.75,0.79807,2.04,0.00577,211,0.0958
"27",3,1,0.85948,2.16,0,101,0.0114
"28",4,-1,-0.84118,-2.1,0.00186,1239,0.0402
"29",4,-0.75,-0.76221,-1.97,0.00737,1184,0.189
"30",4,-0.5,-0.65503,-1.69,0.0456,1042,0.48
"31",4,-0.25,-0.66326,-1.68,0.0296,1129,0.75
"32",4,0,-0.18706,-0.474,0.977,1133,1
"33",4,0.25,0.60464,1.54,0.0699,260,0.394
"34",4,0.5,0.71254,1.85,0.00756,262,0.276
"35",4,0.75,0.73046,1.87,0.013,267,0.212
"36",4,1,0.8522,2.13,0.00172,161,0.0196
"37",5,-1,-0.85463,-2.15,0,1200,0.023
"38",5,-0.75,-0.75214,-1.93,0.00769,1164,0.271
"39",5,-0.5,-0.69372,-1.83,0.0121,1185,0.59
"40",5,-0.25,-0.42353,-1.11,0.32,1075,0.75
"41",5,0,0.23985,0.606,0.912,257,1
"42",5,0.25,0.58332,1.51,0.0758,355,0.898
"43",5,0.5,0.66476,1.68,0.0333,309,0.441
"44",5,0.75,0.79446,1.99,0.00358,206,0.154
"45",5,1,0.81953,2.04,0.0017,235,0.0512
"46",6,-1,-0.85079,-2.06,0,1194,0.0528
"47",6,-0.75,-0.73476,-1.85,0.00719,1233,0.516
"48",6,-0.5,-0.69996,-1.79,0.0129,1155,0.745
"49",6,-0.25,-0.32988,-0.833,0.643,999,1
"50",6,0,-0.28672,-0.733,0.783,1123,0.985
"51",6,0.25,0.46851,1.18,0.262,372,0.8
"52",6,0.5,0.72914,1.85,0.00936,297,0.414
"53",6,0.75,0.76569,1.96,0.00598,236,0.194
"54",6,1,0.82631,2.04,0,218,0.0713
"55",7,-1,-0.85872,-2.11,0,1182,0.0178
"56",7,-0.75,-0.78233,-1.97,0.0019,1177,0.0858
"57",7,-0.5,-0.63008,-1.63,0.0484,997,0.665
"58",7,-0.25,-0.41793,-1.08,0.363,906,0.846
"59",7,0,0.27791,0.705,0.814,360,0.993
"60",7,0.25,0.34034,0.874,0.57,317,0.791
"61",7,0.5,0.63287,1.58,0.0638,271,0.434
"62",7,0.75,0.78683,1.93,0.00186,153,0.132
"63",7,1,0.84357,2.12,0,164,0.023
"64",8,-1,-0.84054,-2.07,0.00181,1250,0.0427
"65",8,-0.75,-0.77895,-1.99,0.0038,1263,0.134
"66",8,-0.5,-0.67755,-1.73,0.022,1125,0.527
"67",8,-0.25,-0.51629,-1.33,0.175,1050,1
"68",8,0,0.26715,0.671,0.848,412,0.928
"69",8,0.25,0.61596,1.57,0.0546,233,0.769
"70",8,0.5,0.58354,1.48,0.09,364,0.878
"71",8,0.75,0.76413,1.9,0.00554,202,0.331
"72",8,1,0.77986,1.93,0.00531,147,0.269
"73",9,-1,-0.8187,-2.09,0,1199,0.0533
"74",9,-0.75,-0.74844,-1.87,0.0133,1037,0.447
"75",9,-0.5,-0.60511,-1.49,0.0944,938,0.892
"76",9,-0.25,-0.49692,-1.25,0.205,1015,1
"77",9,0,-0.19431,-0.499,0.987,880,1
"78",9,0.25,0.50568,1.31,0.193,242,1
"79",9,0.5,0.66754,1.69,0.0246,286,1
"80",9,0.75,0.7251,1.85,0.00942,234,0.516
"81",9,1,0.75214,1.91,0.00739,157,0.288
"82",10,-1,-0.83071,-2.05,0,1190,0.0578
"83",10,-0.75,-0.72587,-1.86,0.0111,1119,0.409
"84",10,-0.5,-0.69211,-1.74,0.0226,1114,1
"85",10,-0.25,-0.45963,-1.19,0.275,968,1
"86",10,0,0.20801,0.528,0.978,452,1
"87",10,0.25,0.41867,1.05,0.371,537,0.979
"88",10,0.5,0.59993,1.54,0.0657,234,1
"89",10,0.75,0.72054,1.82,0.00898,269,0.641
"90",10,1,0.78651,1.97,0,221,0.175
"91",11,-1,-0.85464,-2.11,0,1231,0.0382
"92",11,-0.75,-0.77023,-1.98,0,1169,0.17
"93",11,-0.5,-0.66403,-1.72,0.0241,1092,1
"94",11,-0.25,-0.38933,-1.03,0.404,1144,1
"95",11,0,-0.36815,-0.944,0.482,1119,1
"96",11,0.25,0.51052,1.31,0.172,363,0.936
"97",11,0.5,0.6851,1.76,0.0207,292,1
"98",11,0.75,0.75522,1.95,0.0071,210,0.208
"99",11,1,0.8046,2.01,0,143,0.128
"100",12,-1,-0.82499,-2.06,0.00185,1130,0.061
"101",12,-0.75,-0.78956,-2.04,0.00405,1160,0.0689
"102",12,-0.5,-0.64365,-1.67,0.0366,969,0.728
"103",12,-0.25,-0.48191,-1.24,0.226,924,1
"104",12,0,-0.20425,-0.535,0.953,1138,0.995
"105",12,0.25,0.37053,0.922,0.546,435,0.805
"106",12,0.5,0.7315,1.83,0.00691,185,0.212
"107",12,0.75,0.73812,1.85,0.0135,247,0.529
"108",12,1,0.79951,1.99,0.00504,102,0.138
"109",13,-1,-0.8092,-2.01,0.0018,1208,0.108
"110",13,-0.75,-0.78328,-1.94,0.00567,1191,0.231
"111",13,-0.5,-0.74252,-1.86,0.00385,1203,0.14
"112",13,-0.25,-0.43748,-1.12,0.336,1010,1
"113",13,0,-0.22275,-0.575,0.92,991,1
"114",13,0.25,0.31738,0.803,0.686,215,1
"115",13,0.5,0.69759,1.78,0.0165,274,0.826
"116",13,0.75,0.75169,1.91,0.00958,184,0.316
"117",13,1,0.77139,1.97,0,178,0.19
"118",14,-1,-0.82824,-2.05,0.00187,1178,0.0733
"119",14,-0.75,-0.77704,-1.94,0.00564,1189,0.244
"120",14,-0.5,-0.65246,-1.66,0.0339,1060,1
"121",14,-0.25,-0.49615,-1.25,0.207,1066,0.906
"122",14,0,0.28152,0.718,0.808,331,0.923
"123",14,0.25,0.42516,1.07,0.369,464,0.927
"124",14,0.5,0.58403,1.47,0.0881,175,1
"125",14,0.75,0.81977,2.07,0,143,0.0278
"126",14,1,0.81411,2.01,0.00171,137,0.0902
"127",15,-1,-0.82744,-2.11,0,1154,0.0354
"128",15,-0.75,-0.69837,-1.78,0.0109,1214,0.411
"129",15,-0.5,-0.56004,-1.4,0.146,1212,1
