"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.24296,-0.61,0.912,1034,1
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",-0.22497,-0.564,0.952,1016,1
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.45798,1.16,0.279,382,1
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.3642,-0.883,0.598,1166,1
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",-0.28437,-0.715,0.777,1055,1
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",0.26739,0.674,0.84,334,1
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",-0.25601,-0.632,0.892,1084,1
"8",1,"-1","Cell_No_1","AKT inhibitor",-0.56724,-1.44,0.12,1204,1
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.33177,-0.852,0.638,896,1
"10",1,"-1","Cell_No_1","androgen receptor antagonist",0.3468,0.89,0.578,313,1
"11",1,"-1","Cell_No_1","antioxidant",-0.31254,-0.777,0.721,1183,1
"12",1,"-1","Cell_No_1","AP inhibitor",0.59882,1.54,0.0769,258,0.669
"13",1,"-1","Cell_No_1","ATPase inhibitor",-0.36793,-0.912,0.537,1194,1
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.26455,-0.657,0.833,1209,1
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.53978,-1.36,0.135,1056,1
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",-0.70715,-1.73,0.0255,1035,0.594
"17",1,"-1","Cell_No_1","BCL inhibitor",-0.39582,-1.03,0.439,1003,1
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",-0.28224,-0.697,0.834,1016,1
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",0.40863,1.04,0.412,134,1
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.69213,1.79,0.015,110,0.657
"21",1,"-1","Cell_No_1","calcium channel blocker",-0.28426,-0.705,0.817,825,1
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",0.26324,0.687,0.836,108,1
"23",1,"-1","Cell_No_1","CDK inhibitor",0.26938,0.681,0.829,51,1
