"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.90671,-2.27,0,1269,0.00405
"2",1,-0.75,-0.8568,-2.2,0,1262,0.00909
"3",1,-0.5,-0.67131,-1.72,0.0271,1051,0.306
"4",1,-0.25,-0.58473,-1.48,0.0935,1138,0.549
"5",1,0,0.27252,0.694,0.826,42,0.946
"6",1,0.25,0.31155,0.791,0.698,434,1
"7",1,0.5,0.71154,1.81,0.015,369,0.67
"8",1,0.75,0.77722,1.94,0.00549,187,0.209
"9",1,1,0.86599,2.16,0,174,0.0123
"10",2,-1,-0.87556,-2.24,0,1318,0.00385
"11",2,-0.75,-0.83682,-2.17,0,1164,0.00876
"12",2,-0.5,-0.57604,-1.48,0.101,1226,0.752
"13",2,-0.25,-0.52711,-1.36,0.15,1091,0.67
"14",2,0,-0.16398,-0.417,0.994,875,0.996
"15",2,0.25,-0.25924,-0.673,0.85,1053,0.916
"16",2,0.5,0.63646,1.65,0.0553,158,0.706
"17",2,0.75,0.76485,1.94,0.00977,139,0.271
"18",2,1,0.79716,2.02,0.00188,286,0.122
"19",3,-1,-0.90754,-2.29,0,1301,0.00225
"20",3,-0.75,-0.79144,-2.08,0,1105,0.0706
"21",3,-0.5,-0.65707,-1.66,0.0434,1066,0.62
"22",3,-0.25,-0.46806,-1.2,0.237,1024,0.871
"23",3,0,0.45136,1.16,0.296,56,0.82
"24",3,0.25,-0.31578,-0.824,0.666,1180,0.961
"25",3,0.5,0.52338,1.36,0.15,416,0.7
"26",3,0.75,0.79209,2.03,0,230,0.0658
"27",3,1,0.82275,2.09,0,207,0.0269
"28",4,-1,-0.84197,-2.17,0,1213,0.0106
"29",4,-0.75,-0.78806,-2.02,0,1148,0.0989
"30",4,-0.5,-0.69361,-1.75,0.011,1137,0.515
"31",4,-0.25,-0.41164,-1.06,0.368,940,0.827
"32",4,0,-0.21592,-0.57,0.933,915,0.943
"33",4,0.25,0.53758,1.43,0.108,232,1
"34",4,0.5,0.79087,2.05,0.00207,185,0.115
"35",4,0.75,0.87334,2.27,0,56,0.00223
"36",4,1,0.85072,2.12,0,92,0.0503
"37",5,-1,-0.8703,-2.19,0.00182,1194,0.0168
"38",5,-0.75,-0.84128,-2.19,0.00193,1141,0.0207
"39",5,-0.5,-0.77709,-2,0.00381,1156,0.144
"40",5,-0.25,-0.56318,-1.43,0.125,1154,1
"41",5,0,-0.4089,-1.07,0.346,1239,0.969
"42",5,0.25,0.65132,1.68,0.0417,72,0.395
"43",5,0.5,0.68436,1.75,0.0264,156,0.258
"44",5,0.75,0.73468,1.91,0.012,201,0.167
"45",5,1,0.84994,2.16,0,105,0.0162
"46",6,-1,-0.83513,-2.16,0,1173,0.0269
"47",6,-0.75,-0.74886,-1.97,0.00421,1076,0.167
"48",6,-0.5,-0.68608,-1.72,0.0292,1138,0.639
"49",6,-0.25,-0.64191,-1.64,0.0462,1039,0.963
"50",6,0,0.45517,1.18,0.293,295,0.629
"51",6,0.25,0.46837,1.18,0.261,437,0.57
"52",6,0.5,0.64463,1.68,0.0389,218,0.321
"53",6,0.75,0.84754,2.15,0,199,0.0301
"54",6,1,0.89584,2.28,0.00364,64,0.00421
"55",7,-1,-0.92595,-2.39,0,1251,0
"56",7,-0.75,-0.75933,-1.91,0.00193,1115,0.154
"57",7,-0.5,-0.74292,-1.89,0.0073,1021,0.178
"58",7,-0.25,-0.4464,-1.17,0.259,1045,1
"59",7,0,-0.5675,-1.43,0.128,1169,0.887
"60",7,0.25,0.34485,0.9,0.56,408,1
"61",7,0.5,0.69312,1.82,0.0262,287,0.712
"62",7,0.75,0.79476,2.06,0.00196,172,0.101
"63",7,1,0.86878,2.24,0,97,0.0129
"64",8,-1,-0.74577,-1.88,0.00984,1143,0.18
"65",8,-0.75,-0.75081,-1.94,0.00391,1122,0.118
"66",8,-0.5,-0.664,-1.73,0.0219,1119,0.35
"67",8,-0.25,-0.55497,-1.41,0.121,1140,0.712
"68",8,0,0.29451,0.761,0.762,254,0.909
"69",8,0.25,0.59069,1.54,0.0683,178,0.936
"70",8,0.5,0.59754,1.52,0.0843,282,0.805
"71",8,0.75,0.71805,1.81,0.0126,95,0.804
"72",8,1,0.8265,2.13,0,205,0.0245
"73",9,-1,-0.90426,-2.26,0,1281,0.000979
"74",9,-0.75,-0.7744,-2.02,0.00391,1105,0.114
"75",9,-0.5,-0.55395,-1.42,0.133,1123,1
"76",9,-0.25,-0.57886,-1.47,0.088,1220,0.864
"77",9,0,0.35167,0.894,0.575,73,1
"78",9,0.25,0.55364,1.45,0.109,233,0.518
"79",9,0.5,0.76464,1.99,0.00402,124,0.136
"80",9,0.75,0.84104,2.14,0,177,0.0251
"81",9,1,0.87548,2.2,0,87,0.00584
"82",10,-1,-0.86295,-2.16,0,1165,0.0287
"83",10,-0.75,-0.81399,-2.06,0.00181,1171,0.0594
"84",10,-0.5,-0.56949,-1.44,0.116,1148,0.792
"85",10,-0.25,-0.61461,-1.56,0.0512,949,0.581
"86",10,0,0.41734,1.07,0.358,445,1
"87",10,0.25,0.28361,0.722,0.793,492,0.996
"88",10,0.5,0.6127,1.53,0.0924,403,0.497
"89",10,0.75,0.83413,2.11,0,67,0.0348
"90",10,1,0.78079,2.03,0,190,0.134
"91",11,-1,-0.90462,-2.27,0,1217,0.00246
"92",11,-0.75,-0.77096,-1.91,0.00802,1030,0.222
"93",11,-0.5,-0.81961,-2.06,0.00196,1212,0.0433
"94",11,-0.25,-0.59753,-1.46,0.0837,1051,0.765
"95",11,0,-0.47184,-1.19,0.25,910,0.991
"96",11,0.25,0.5277,1.29,0.206,372,0.621
"97",11,0.5,0.61829,1.52,0.0838,139,0.676
"98",11,0.75,0.80827,2.05,0.00388,104,0.0643
"99",11,1,0.93243,2.27,0,51,0
"100",12,-1,-0.84901,-2.21,0,1196,0.0202
"101",12,-0.75,-0.8042,-2.16,0,1269,0.0332
"102",12,-0.5,-0.71264,-1.9,0.0157,1065,0.455
"103",12,-0.25,-0.56306,-1.46,0.101,1142,0.854
"104",12,0,0.29399,0.759,0.727,259,0.99
"105",12,0.25,0.34572,0.896,0.575,306,0.915
"106",12,0.5,0.63684,1.61,0.0523,309,0.397
"107",12,0.75,0.71539,1.82,0.0105,202,0.303
"108",12,1,0.82942,2.11,0.00178,93,0.0317
"109",13,-1,-0.90795,-2.33,0,1236,0.00103
"110",13,-0.75,-0.82651,-2.15,0,1205,0.0282
"111",13,-0.5,-0.72649,-1.89,0.0117,1091,0.436
"112",13,-0.25,-0.49712,-1.3,0.165,1008,1
"113",13,0,0.21991,0.562,0.959,234,0.993
"114",13,0.25,-0.21431,-0.56,0.936,1139,0.97
"115",13,0.5,0.71413,1.81,0.00933,327,0.648
"116",13,0.75,0.79088,2,0.00371,144,0.058
"117",13,1,0.80203,2.05,0.00371,207,0.0747
"118",14,-1,-0.87963,-2.26,0,1198,0.00785
"119",14,-0.75,-0.83498,-2.14,0,1224,0.0327
"120",14,-0.5,-0.61966,-1.58,0.0624,916,0.688
"121",14,-0.25,-0.56732,-1.42,0.137,1080,0.73
"122",14,0,-0.32344,-0.838,0.647,1057,1
"123",14,0.25,0.54441,1.39,0.132,296,1
"124",14,0.5,0.64695,1.64,0.0432,220,0.977
"125",14,0.75,0.80698,2.03,0.00183,186,0.0767
"126",14,1,0.83319,2.09,0.00177,127,0.0335
"127",15,-1,-0.85087,-2.16,0.00193,1197,0.0249
"128",15,-0.75,-0.77339,-2,0.0039,1130,0.15
"129",15,-0.5,-0.7119,-1.84,0.0133,1092,0.568
"130",15,-0.25,-0.60871,-1.55,0.0739,1169,0.492
"131",15,0,0.41542,1.08,0.337,261,1
"132",15,0.25,0.46878,1.19,0.259,255,1
"133",15,0.5,0.7676,1.92,0,71,0.156
"134",15,0.75,0.78503,2.01,0,172,0.137
"135",15,1,0.8771,2.22,0,84,0.00906
"136",16,-1,-0.89256,-2.21,0,1277,0.00867
"137",16,-0.75,-0.76883,-1.95,0.00199,1069,0.204
"138",16,-0.5,-0.75452,-1.91,0.00395,1119,0.294
"139",16,-0.25,-0.59106,-1.51,0.0641,1277,1
"140",16,0,0.41593,1.05,0.39,286,1
"141",16,0.25,0.56669,1.46,0.0994,282,0.514
"142",16,0.5,0.73581,1.91,0.00601,257,0.285
"143",16,0.75,0.705,1.79,0.0215,348,0.384
"144",16,1,0.7757,1.95,0,260,0.182
